sample,raw,number
0," 0,75

Input",75.0
1," 10
Question: Generate a",10.0
2," 16
Question: Great,",16.0
3, `(Math.floor(,
4," 33
Task: Describe",33.0
5,"
    int generate = new",
6," 
raw_num =",
7, AverageOfTen() (Il,
8," 357967
Question:",
9," A
Question: What is",
10," Input = 59.

",59.0
11," 4

Question: Generate",4.0
12," 45
Test this code:",45.0
13," 13

Source: t",13.0
14, This can easily be done using,
15," 100

where as when",100.0
16," Generate a random number
Is",
17, Answer = RandomNbr.,
18," 39

question no:",39.0
19," 12
Problem: A student",12.0
20," 50

S: …",50.0
21, At this point I'm just,
22, One way to do it and,
23," 4
Question: Generate a",4.0
24, Int (Asumming that,
25," 9
As you probably would",9.0
26," I got this:
program",
27,"
try {
     Random",
28,"
Let's go to Wol",
29,"

A:

",
30," 52

Correct Answer:",52.0
31," 10
Question: Split it",10.0
32," 25
Question:
Question",25.0
33," 90
Now if we want",90.0
34," aa26ee06
Question",26.0
35," 57
My Code
    ",57.0
36," [1, 100]
",1.0
37," 
Note that: ",
38," 11
Question: For how",11.0
39, Set::$number generate a,
40," 19
Question: Do you",19.0
41," 12
Now check or get",12.0
42," Integer
Questions: Generate a",
43," Random
Question: How will",
44," 54.0
</pre",54.0
45,"  12

Question:",12.0
46,"
:(My XKB standard",
47," 38

Question: Generate",38.0
48, Store the number in a variable,
49," 88.
I am not",88.0
50,"  ""10""

",10.0
51,"
Random r = new Random",
52," 43
The question is a",43.0
53," 50
Generating the random",50.0
54," 13
Why is 13 chosen",13.0
55," 32
Who answered this question",32.0
56," 5
Question: Generate a",5.0
57," x = 75
$8",75.0
58," 3
//paper-input",3.0
59, The ASCII table contains lots of,
60," 25

Were participants shown",25.0
61, Generate a random number between:,
62," I selected 99.
I",99.0
63," 42

Wrong answer",42.0
64," 39
Question: Print out",39.0
65,"
/// <summary>
",
66," The answer is 64.
",64.0
67," 50

134) Question",50.0
68," 3

It works,",3.0
69," 65

Male students voted",65.0
70," 30

Question: Enter",30.0
71," 
$(1+5",1.0
72," 0
it doesn't work",
73," 4
Question: Generate a",4.0
74,"  

Most common Integer",
75,"
/*
MuNT API",
76,"
srand(time(&",
77, 89 (random from = 97,89.0
78," 50
Question: Create a",50.0
79," 21

Type of random",21.0
80," 2
public class Test23",2.0
81," randBetween(1, 100",1.0
82, This question is very simple.,
83," 120.

Question:",
84, I'd like to have time,
85,"  12
Question: Generate",12.0
86," 3

Explain:",3.0
87, In a way that never intercept,
88," 18
Question:An 8",18.0
89, What is the average number of,
90," 26
Description: Max/",26.0
91,"
rt(1) ->",1.0
92," 1, 25, #etc",1.0
93, What’s the smallest integer,
94," 25
Using java.lang",25.0
95, (1..100)[new,1.0
96, 50.  Fifty.,50.0
97," 2
Q: How was",2.0
98," 12

A:
",12.0
99," 100
Question: Name of",100.0
100," 37
Question: The needle",37.0
101, Plumar math 11 plus ar,11.0
102," 1

Question: Write",1.0
103, rand()%(5*100,5.0
104, 40 (40 = 5 *,40.0
105, % python random.randint,
106," 31.

question =",31.0
107,"
int randNumber = new",
108," 45
Yes 3 /414",45.0
109, (rand(101) *,
110, Sets isEqual: to random,
111," 31
Question: Type a",31.0
112," 95
Question: Generate a",95.0
113, Jose Simon (1864021,
114," 20
Preparation Check:",20.0
115,"

Discussion:
Prob",
116, the following might be a suitable,
117," 34
Answer: 55
",34.0
118," 68
Issue: Expected",68.0
119,"
RandomNumber = Int(",
120, Random.nextInt(1,1.0
121," -Angelica-
Question",
122," 49,
then Generate random",49.0
123, Drop 32. (3 in,32.0
124, 0.38403979,
125,"
  var number = Math",
126," 33
Question: Generate a",33.0
127," 1.
The activity keeps",1.0
128, Generate a random value from the,
129," 1
--
Question:",1.0
130," Make a routine that takes """,
131, What is your favorite ice cream,
132," 16
Question: Generate random",16.0
133,"
<script type=""z",
134," 25
Local variable declaration:",25.0
135," 92

answer: 29",92.0
136," 29
Question: Guess",29.0
137," generate function
Question: Generate",
138, Generate a random number with a,
139," 13
Question: Find the",13.0
140, you can use random number generator,
141," 22
Question: Generate a",22.0
142," 65
Question: Generate a",65.0
143," 90 
My Code:",90.0
144,"

7
Question:",7.0
145," 1
Question: Generate a",1.0
146," 6

I have written",6.0
147, Random((int)time(,
148," 40.

Question:",40.0
149," <generator>
Answer:",
150," 35
Status: Correct ...",35.0
151,"
If you need a random",
152," DAATEHZ

",
153," 70
Variable Question2:",70.0
154," 42
Why was the code",42.0
155," 71
Question: Generate a",71.0
156," vigenère, and plain",
157," 50
Solution:
from",50.0
158," 50
Question: Generate a",50.0
159, This function will generate a random,
160,"
include (random.library",
161," 1.
Question: Generate",1.0
162," 67 (random(1,",67.0
163," 0.7365
Question",
164," 36, Doesn't fit :)",36.0
165,"
important.sliceCurly",
166," 48

I have the",48.0
167," Ninety-one.
",
168," 5
Question: Generate a",5.0
169," 22
3) What is",22.0
170," 19
explanation: 19",19.0
171," 1852

Question:",
172," 2

Why? ",2.0
173," 1 46
Question: Generate",1.0
