row_index,a,op,b,c,prompt,freq_a,freq_b,freq_c,freq_prompt,log_freq_a,log_freq_b,log_freq_c,log_freq_prompt,target,target_text,target_num_tokens,target_logprob,avg_target_logprob,model,mean_logprob_per_example,mean_logprob_per_token
87278154,8088,/,8,1011,8088 / 8 =,1,6642,21,1,0.3010299956639812,3.8223642524415493,1.3424226808222062,0.3010299956639812,1011,1011,2,-12.75,-6.375,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
86916567,10316,+,1084,11400,10316 + 1084 =,1,1,1,1,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,11400,11400,2,-14.53125,-7.265625,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
134111686,9,-,7,2,9 - 7 =,3708,5566,15071,93,3.56925683332861,3.7456212213069384,4.178170885448802,1.9731278535996986,2,2,1,-5.546875,-5.546875,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
89510679,115,-,5,110,115 - 5 =,61,10853,200,1,1.792391689498254,4.035589817243458,2.303196057420489,0.3010299956639812,110,110,1,-8.3671875,-8.3671875,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
74267756,521,-,31,490,521 - 31 =,4,303,32,1,0.6989700043360189,2.482873583608754,1.5185139398778875,0.3010299956639812,490,490,1,-10.5546875,-10.5546875,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
118484374,384,+,38,422,384 + 38 =,82,200,9,3,1.919078092376074,2.303196057420489,1.0,0.6020599913279624,422,422,1,-10.53125,-10.53125,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
115065585,250,/,10,25,250 / 10 =,214,4789,1296,5,2.3324384599156054,3.680335513414563,3.11293997608408,0.7781512503836436,25,25,1,-8.703125,-8.703125,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
134294535,13,-,8,5,13 - 8 =,1299,6642,8658,54,3.113943352306837,3.8223642524415493,3.9374677396433775,1.7403626894942439,5,5,1,-5.59765625,-5.59765625,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
91195820,57,-,60,-3,57 - 60 =,154,1042,2716,1,2.1903316981702914,3.018284308426531,3.4340896384178907,0.3010299956639812,-3,-3,2,-11.640625,-5.8203125,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
48935316,1760,-,272,1488,1760 - 272 =,9,14,7,1,1.0,1.1760912590556813,0.9030899869919435,0.3010299956639812,1488,1488,2,-13.59375,-6.796875,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
25560753,-15,+,115,100,-15 + 115 =,107,44,1129,1,2.03342375548695,1.6532125137753437,3.05307844348342,0.3010299956639812,100,100,1,-6.8671875,-6.8671875,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
122661876,568,-,20,548,568 - 20 =,7,2293,11,1,0.9030899869919435,3.360593413565249,1.0791812460476249,0.3010299956639812,548,548,1,-8.859375,-8.859375,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
114908107,34,+,1980,2014,34 + 1980 =,300,16,14,1,2.478566495593843,1.2304489213782739,1.1760912590556813,0.3010299956639812,2014,2014,1,-8.6796875,-8.6796875,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
24597021,317,+,308,625,317 + 308 =,17,6,101,1,1.255272505103306,0.8450980400142568,2.0086001717619175,0.3010299956639812,625,625,1,-10.640625,-10.640625,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
121745364,30,-,16,14,30 - 16 =,1370,2263,1481,8,3.1370374547895126,3.354876422516234,3.170848203643309,0.9542425094393249,14,14,1,-7.39453125,-7.39453125,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
30828853,12,+,47,59,12 + 47 =,3017,154,109,1,3.479719235439571,2.1903316981702914,2.041392685158225,0.3010299956639812,59,59,1,-9.3984375,-9.3984375,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
107296240,1296000,*,36525,47336400000,1296000 * 36525 =,1,1,1,1,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,47336400000,47336400000,4,-25.375,-6.34375,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
13690268,768244,-,400694,367550,768244 - 400694 =,1,1,1,1,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,367550,367550,3,-17.9375,-5.98046875,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
77118268,60,-,59,1,60 - 59 =,1269,99,8225,1,3.103803720955957,2.0,3.9151887051731564,0.3010299956639812,1,1,1,-4.62890625,-4.62890625,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
45852334,778,+,656,1434,778 + 656 =,1,2,1,1,0.3010299956639812,0.47712125471966244,0.3010299956639812,0.3010299956639812,1434,1434,2,-12.1875,-6.09375,EleutherAI/pythia-70m-deduped,-11.35965703125,-7.47345857319079
