layer,op,mean_distinct,frac_positive,p_vs_0,rho,slope,r2,p
0,+,6.090129249781116e-05,0.5061728395061729,0.9818563891855743,0.1041581458759373,7.209241515741966e-05,0.00012154378269229795,0.9221840455661547
0,-,0.0008279433310622795,0.4691358024691358,0.3091335463649055,0.055987275619177455,-0.00010076137096446656,0.002586144942376699,0.6520864544477893
0,*,0.004926853951251352,0.5555555555555556,0.0055744435192247995,0.001039877023238991,-4.1445332013365735e-05,0.0027122666708942534,0.6442654533078835
0,/,0.0014065742556384003,0.6086956521739131,0.23399016617051777,-0.1180518793012176,-0.0007401656385198521,0.10817938725693985,0.12542026578614118
1,+,-0.00047743121657099026,0.48148148148148145,0.267925109110904,0.10762311056363448,0.00011544485754855472,0.012128533426129932,0.3277073617918663
1,-,-1.0171591764410284e-05,0.6049382716049383,0.983295944430963,-0.04582646867401233,-4.4319662172430454e-05,0.001395746157949535,0.7405487599396594
1,*,0.0005556565226200348,0.5679012345679012,0.28132300196442495,-0.3298726061666381,-7.534048256754768e-05,0.1021387943748246,0.0036339572589173877
1,/,-0.0015363165057980014,0.34782608695652173,0.14082015185375407,0.6034770716297837,0.0007062195586389074,0.12866434866718382,0.09280388176931778
2,+,-0.0003353015413953474,0.4444444444444444,0.31502796047234105,0.09913966394059069,8.467961759945264e-05,0.010866851896313017,0.35437217064833804
2,-,-5.815554450570876e-05,0.6049382716049383,0.9179880615442866,-0.07735906600185471,-7.88867764921369e-05,0.0032720951960790814,0.6119906681558918
2,*,0.0015215167299164468,0.6049382716049383,0.0010519699747248389,-0.23290707382894654,-4.727057315770495e-05,0.05270558925698868,0.03923604909375443
2,/,-0.0027901189920049477,0.4782608695652174,0.04971012443471102,0.6116598115840858,0.0012370319776165764,0.2211597482107575,0.023541750061294758
3,+,-0.00028093803582831644,0.5308641975308642,0.3470421720596878,0.15893153940527457,7.429949275482891e-05,0.010430380743661913,0.364273545785593
3,-,-0.00011500741127986095,0.5061728395061729,0.7517967767643722,-0.164198298657231,-0.00010692340911458587,0.014509378628447823,0.2841020167114737
3,*,0.0013893524122210112,0.6666666666666666,0.0009293847843709971,-0.09328258190752871,-2.121094051686872e-05,0.013018127623536123,0.31047334512406705
3,/,-0.0022831718318968913,0.391304347826087,0.022785653506008748,0.7016699510814095,0.0009858140730098447,0.2915465500553583,0.007826338333983038
4,+,-2.4467911303451664e-05,0.4691358024691358,0.7126578954513842,0.057152832656714336,7.928012002780098e-06,0.0023902592396082933,0.664700364604638
4,-,-0.001090895531730982,0.6049382716049383,0.7877620546354063,-0.37565018785029486,-0.0006646143253947818,0.004513791802773223,0.5512162432247487
4,*,7.454939394414126e-05,0.5061728395061729,0.39624994022848437,-0.19729768807473433,-9.029989854559321e-06,0.05040221244858173,0.04391154297794732
4,/,-0.0007787899401079572,0.391304347826087,0.010375133857045029,0.6914415261385317,0.0002900940177379062,0.28429504614622064,0.008796549193717463
5,+,-1.2788218831745793e-05,0.43209876543209874,0.7273269287396977,0.09392953650854775,5.907259876169408e-06,0.00435421264769307,0.5583553998951231
5,-,-0.000715969310255695,0.5679012345679012,0.7406194287174621,-0.3183387860978227,-0.00037255669119601835,0.004979675061860042,0.5313076011486382
5,*,5.03920733008283e-05,0.4691358024691358,0.26204609789789235,-0.14187267331897127,-3.905264981412994e-06,0.03618472755879918,0.08894954830102271
5,/,-0.00041353461832870027,0.391304347826087,0.008634104113189333,0.6893958411499562,0.00014944383717436176,0.2831831021712464,0.00895491323111434
6,+,-8.317983434210408e-06,0.48148148148148145,0.7839492866763127,0.07832180694038439,5.10957251985123e-06,0.004759489747294111,0.5405504923526706
6,-,-0.00043065852775702335,0.5679012345679012,0.6903006805429258,-0.2568366296717507,-0.0001767954653603577,0.004491730002975096,0.5521930159290153
6,*,7.073904425379547e-05,0.5308641975308642,0.026718260383706387,-0.21480864870894403,-2.867775021197404e-06,0.039544075139444634,0.07512258467457998
6,/,-0.0002598430547654325,0.2608695652173913,0.008222164375763247,0.6755874674770713,9.192135206127392e-05,0.2753867878069157,0.010142607500020833
