layer,op,mean_sim,rho,slope,r2,p
0,+,0.17044233430255293,-0.9157464212678937,-0.006669898374658035,0.7320977082585214,2.6460354469033867e-24
0,-,0.23689603621653046,-0.363531015678255,-0.0023347092616969748,0.11620991151401419,0.0018443003753261292
0,*,0.1437158927332562,-0.931255086355005,-0.001935670199459774,0.6893427068997516,9.446513037611376e-22
0,/,0.22839516756021172,-0.9989412387506619,-0.009582189846312561,0.9657049219810796,7.286275244727076e-17
1,+,0.9127862708812957,-0.42908797312068286,-0.0010133408263600092,0.3951650293447708,3.312535617121211e-10
1,-,0.9257379787191723,-0.74459516822283,-0.001552904547154825,0.5424999509325233,4.630096765500111e-15
1,*,0.9121402593443373,-0.8330811278240371,-0.0003883785683479341,0.5671619508507576,5.078682461049507e-16
1,/,0.9225308637720092,-0.15854058661460418,-0.0015667804510624383,0.37141686239073507,0.0020217811214084053
2,+,0.8973165957618114,-0.6788569516672276,-0.0010700177587931571,0.530799897784092,1.268562317525668e-14
2,-,0.9133018293601926,-0.767972783483127,-0.0021475006811576595,0.5869120978434318,7.896712341221429e-17
2,*,0.8972854026552889,-0.8250486807202158,-0.00035946326338090565,0.6107888845978705,7.375131807131793e-18
2,/,0.9073288357235237,0.07671318707158266,-0.0006286376109958331,0.05090620476352678,0.3006049425453768
3,+,0.8250179135867148,-0.8127912057626787,-0.0018680097118192918,0.6816902939755292,2.483473390650796e-21
3,-,0.842858130158437,-0.8471440677222141,-0.0036382222933068475,0.7006569193500202,2.1648200221205385e-22
3,*,0.834363951538809,-0.8580935580460631,-0.00042186884475116165,0.6460056305283453,1.6947232504343517e-19
3,/,0.8498336418891014,0.2040570776104099,0.00035687628355349975,0.010253324323086788,0.6457149767515578
4,+,0.604693997810573,0.17344061166711586,0.00026352132867969437,0.0272777410617247,0.14062326021613347
4,-,0.6795017708894208,-0.8524221533381532,-0.020297301602897028,0.6912537595670037,7.393264110856892e-22
4,*,0.5904546834843497,-0.1513737816372747,-6.00804189098336e-05,0.030027785752488073,0.12184962869885184
4,/,0.6077524360975299,0.17950885774750344,0.00025178812341627494,0.006811255949628187,0.7081299399231982
5,+,0.6253681787466764,-0.05598621716649602,-0.00012590666480221914,0.005053658682476002,0.5282653880036763
5,-,0.6741954616128336,-0.8129724275864021,-0.012095132701966027,0.7004923224318397,2.212590896976418e-22
5,*,0.5768924000914507,-0.2709679940719482,-0.00012082970050958117,0.06141055005687615,0.025710676384350706
5,/,0.6129936053293903,-0.2664504697619638,-0.0012709078096019878,0.11698855509382242,0.11015804215157511
6,+,0.6392449062735925,-0.07210363311388099,1.2718728815579533e-05,2.9906725368455664e-05,0.9613546659137294
6,-,0.6834815482861187,-0.825895808890665,-0.007122097360988842,0.7030388633521969,1.5763790368520973e-22
6,*,0.6266707627762854,-0.0007456280011986068,-6.4236573457137775e-06,0.00013873691641928487,0.9168805638086157
6,/,0.6528251529010178,-0.21581976629471922,-0.0013539536363314768,0.08747590567842915,0.1706194394475264
7,+,0.6718862376592479,-0.27671439846139273,-0.0006556397965987278,0.06470682459593215,0.021926985192026505
7,-,0.6987787788527715,-0.6614030247698838,-0.002269207158304204,0.37785575728775755,1.0312360407628222e-09
7,*,0.6841752155739061,-0.17346018682429404,-9.915310784591613e-05,0.03323316982324181,0.10333910004503798
7,/,0.7101121320443128,-0.24548219862906454,-0.0017502535647163414,0.13611886033519377,0.0831955027088201
8,+,0.7111608053031637,-0.2082352018219764,-0.0004717277209794362,0.0413716856200403,0.0685705007506799
8,-,0.7195581455559983,0.6435186960411973,0.0020055561124417676,0.3055360634706039,8.768697490568726e-08
8,*,0.7389929114037151,-0.060870358643304444,-3.0056414857171505e-05,0.004475289964670845,0.5529229925068571
8,/,0.7536030121743115,-0.02505964111005034,-0.0006898840717527704,0.03517857202188719,0.3914534470687834
9,+,0.7386315025936194,-0.46492458876195203,-0.0010833262597843016,0.26492199063536603,8.842214030229758e-07
9,-,0.7475012272779148,0.6414119923404147,0.0018441585305234262,0.30784477796714804,7.66111893595194e-08
9,*,0.7862155338933168,-0.10520133253274887,-2.343284980150292e-05,0.005533579503196371,0.5092526548635665
9,/,0.7927948550700243,0.12785531178597112,-0.00020963867526985035,0.003167198300984617,0.7986847306007627
10,+,0.710043493251353,-0.49180205049290393,-0.0013257327942679839,0.30260806922880595,1.0400424211714819e-07
10,-,0.724906234175517,-0.4303112204308147,-0.0009277053575714836,0.14753962664682638,0.0004000077877483055
10,*,0.778264286481318,-0.1706358383349054,-3.488841435594385e-05,0.014793736109443656,0.27939775060332805
10,/,0.7738083578184599,0.2240025062490214,0.0004602663114639418,0.014513658523820805,0.5840027062226401
11,+,0.7003700332600277,-0.4650265260377963,-0.0011360920128991793,0.27382812627152137,5.38069671267709e-07
11,-,0.7227284688441877,-0.8059047764611961,-0.0030235081505235795,0.6104194394728147,7.658994640580313e-18
11,*,0.7574585443734956,-0.12485879801889395,-1.4392251942203854e-05,0.0028532081436521985,0.635781482668268
11,/,0.7477243252432517,0.35697203050643134,0.0010508969959453253,0.0882011842806117,0.16877358236926424
12,+,0.6908511055966804,-0.3118034740798036,-0.0007664958490039936,0.16592791286699843,0.0001605427053092671
12,-,0.7197210761279553,-0.8214785269374112,-0.005174193929182306,0.6817977385109731,2.4503889171969703e-21
12,*,0.7423811923740075,-0.06937729629334308,-5.746896362888683e-06,0.0005613817667001158,0.8337015902759957
12,/,0.7349869611884831,0.28179310717628037,0.001064074168040816,0.08181267231714169,0.1858042370763337
13,+,0.7174610070504562,-0.5776558894817851,-0.0010471051143162709,0.3747178289594352,1.2628923976646447e-09
13,-,0.7463631574779432,-0.778313753799334,-0.0049346464033958575,0.6461032589005512,1.6762370937511114e-19
13,*,0.7689660666304067,-0.20205389093086484,-3.595960505758685e-05,0.021401962386881856,0.19250430554267606
13,/,0.7635560753493825,0.43777658755516513,0.0015481998843151904,0.14904606208750443,0.06882972472369252
14,+,0.7489955078976557,-0.7014077423567874,-0.0013573801612070508,0.511764588425647,6.210078594196285e-14
14,-,0.773373977463894,-0.7677236034755076,-0.004674573342203846,0.6377278739398281,4.2493087317782086e-19
14,*,0.7919152013372207,-0.3235008759745773,-5.387686181192586e-05,0.053456889749452556,0.03782429456617972
