expr,answer,prep,op,rho,rho_adj,top1_excess
{a} {op} {b} =,{},raw,+,-0.40898367705138683,0.08188961159493552,-0.1111111111111111
{a} {op} {b} =,{},raw,-,-0.8623884175141256,-0.3124803182266028,-0.1111111111111111
{a} {op} {b} =,{},raw,*,-0.7232817559505637,-0.28983464198106446,0.0
{a} {op} {b} =,{},raw,/,-0.8634109316444483,-0.13578987650684834,-0.08641975308641975
{a} {op} {b} =,{},centred,+,-0.3260973454259736,0.15304183013426953,-0.1111111111111111
{a} {op} {b} =,{},centred,-,-0.14069794433239707,-0.25746905801524406,-0.09876543209876543
{a} {op} {b} =,{},centred,*,-0.521295649383444,-0.2848073016699526,-0.012345679012345678
{a} {op} {b} =,{},centred,/,0.4341594997349985,-0.11247655433549184,-0.09876543209876543
{a} {op} {b} =, {},raw,+,-0.42908797312068286,0.26203543073981095,-0.1111111111111111
{a} {op} {b} =, {},raw,-,-0.7120788403566957,-0.06564540716671434,0.0
{a} {op} {b} =, {},raw,*,-0.8330811278240371,-0.18609067326884013,0.06172839506172839
{a} {op} {b} =, {},raw,/,-0.8157617731714127,-0.036810508691615514,0.0
{a} {op} {b} =, {},centred,+,0.007226220220963882,0.27655582936563494,-0.1111111111111111
{a} {op} {b} =, {},centred,-,0.24397187149498503,-0.07096248064439213,0.0
{a} {op} {b} =, {},centred,*,-0.1947896666161572,-0.18172987920122405,0.06172839506172839
{a} {op} {b} =, {},centred,/,0.2337467301917585,-0.020654785432517593,0.0
{a} {op} {b} =,The number {},raw,+,-0.4032525368761396,0.3892304982655545,-0.1111111111111111
{a} {op} {b} =,The number {},raw,-,-0.5766979695019764,0.02310881934529196,0.0
{a} {op} {b} =,The number {},raw,*,-0.857212361317374,-0.1306769559070346,0.06172839506172839
{a} {op} {b} =,The number {},raw,/,-0.7732251853499902,0.013497186520259023,-0.012345679012345678
{a} {op} {b} =,The number {},centred,+,0.41555296816135395,0.47868612100093494,-0.1111111111111111
{a} {op} {b} =,The number {},centred,-,0.28855348757705274,-0.05910131673264935,-0.012345679012345678
{a} {op} {b} =,The number {},centred,*,0.4862850255089822,0.05322202293403994,0.012345679012345678
{a} {op} {b} =,The number {},centred,/,-0.44520265234248324,0.0280168871708407,-0.037037037037037035
{a} {op} {b},{},raw,+,-0.4899671795277062,0.17388233986244123,-0.1111111111111111
{a} {op} {b},{},raw,-,-0.4212758216929331,-0.13313133976800942,0.0
{a} {op} {b},{},raw,*,-0.7936193307302988,-0.11304172393929178,0.06172839506172839
{a} {op} {b},{},raw,/,-0.39918951647796386,-0.07157598912258571,0.0
{a} {op} {b},{},centred,+,-0.14678967721581804,0.18175416283041912,-0.1111111111111111
{a} {op} {b},{},centred,-,-0.08302814738219944,-0.15726267324362406,0.0
{a} {op} {b},{},centred,*,-0.26006600890290793,-0.08419947716565478,0.06172839506172839
{a} {op} {b},{},centred,/,-0.03496998325703474,-0.12597374085575086,0.0
{a} {op} {b}, {},raw,+,-0.5464630830734237,0.18884446668359062,-0.1111111111111111
{a} {op} {b}, {},raw,-,-0.05562476868955233,-0.019427768476130407,0.0
{a} {op} {b}, {},raw,*,-0.8173099658592908,-0.014505853841500166,0.06172839506172839
{a} {op} {b}, {},raw,/,-0.16605629476439887,-0.03619700021342192,0.0
{a} {op} {b}, {},centred,+,0.11079449247879106,0.17186624707352027,-0.1111111111111111
{a} {op} {b}, {},centred,-,0.12065666737807307,0.001022514130322653,0.0
{a} {op} {b}, {},centred,*,-0.06567175107526517,-0.02871797544010391,0.06172839506172839
{a} {op} {b}, {},centred,/,0.0061350847819359195,-0.007975610216516694,0.0
{a} {op} {b},The number {},raw,+,-0.5284201852489796,0.16719978511264705,-0.1111111111111111
{a} {op} {b},The number {},raw,-,0.017587243041549634,0.01554221478090433,0.0
{a} {op} {b},The number {},raw,*,-0.8083737272388651,0.005705183948565096,0.06172839506172839
{a} {op} {b},The number {},raw,/,-0.08568668412103833,0.017996248693678697,0.0
{a} {op} {b},The number {},centred,+,0.1003402585227571,0.0783784387602979,-0.1111111111111111
{a} {op} {b},The number {},centred,-,0.07014446934013402,0.07116698347045666,0.0
{a} {op} {b},The number {},centred,*,-0.00858601940774153,-0.026650552345871412,0.06172839506172839
{a} {op} {b},The number {},centred,/,0.06114634499329466,0.12454222107329915,0.0
