layer,mean_cos,sd_cos,stress_raw,stress1,one_leftmost,spearman_rho,spearman_p,pow_r2,pow_p,alpha,alpha_se,p_alpha_vs_1
0,0.18308455391640033,0.045372288342356855,1067.797212514117,0.5676698900335766,False,0.2559375937593759,0.010165244064459842,0.0892020122410414,0.010763909280806862,0.0019439091644863626,0.4927772478010017,0.042829419617442514
1,0.9153477309505197,0.013591428778541912,9.820793345482034,0.5195236771538003,False,0.5649324932493248,9.203606444352304e-10,0.3287347194794281,4.021313874052339e-09,1.994957632619544,0.7269682197223556,0.1711118992563847
2,0.9314798531798424,0.012843568447294347,5.38700635759247,0.4732105843473154,False,0.8387638763876387,1.2799558397938753e-27,0.6652945586994193,8.83373725123317e-24,0.8185810861551438,0.19651606308236924,0.35591549170710624
3,0.9602147488609357,0.008887005077061574,1.6623394178871616,0.44953342160455445,False,0.8733393339333932,2.2405153795944168e-32,0.7100008388622945,8.438047576688018e-27,0.6738280144783666,0.16024360155078782,0.041803013321664875
4,0.9997520166775158,8.650592232748686e-05,5.963668031270669e-05,0.4179224245480035,True,0.9092709270927092,4.342182927106594e-39,0.7291443110032456,3.074617889270831e-28,0.8232814290459226,0.1693858218246598,0.2968139002526705
5,0.9998599699474245,4.850194522391558e-05,1.8806516369966004e-05,0.4159364331833691,True,0.8844524452445244,3.286207902281164e-34,0.6792355577125635,1.12210020517058e-24,0.6084096851005857,0.16440219427518632,0.017223366681285542
6,0.9998799248275938,4.15119697957457e-05,1.3827482311389881e-05,0.41600622299750295,True,0.884056405640564,3.8479184861004513e-34,0.679534266051717,1.0725253213001333e-24,0.6048129688049346,0.16386141391969208,0.015877687043240492
7,0.9998909260485662,3.71721205705285e-05,1.1462207448676477e-05,0.41759048062000137,True,0.8790759075907589,2.668859421696798e-33,0.6776825782368685,1.4182844836069689e-24,0.5822951105362731,0.1618808911139764,0.009870811418255604
8,0.9999004291440261,3.3463836741255915e-05,9.555828468549367e-06,0.41827457603750634,True,0.8833963396339632,4.999091302228316e-34,0.6851912715675437,4.521349825583283e-25,0.5871967350893357,0.1596763063349603,0.009730824622562683
9,0.9999086713452382,3.196599503590772e-05,8.062007838416189e-06,0.41707805626620437,True,0.8972697269726972,1.4216717590140216e-36,0.7120031527670302,6.0298300675164134e-27,0.7640859069541235,0.16981581811532248,0.1647612752186356
