layer,pow_r2_1_9,pow_p_1_9,alpha_1_9,stress1_1_9,pow_r2_1_100,pow_p_1_100,alpha_1_100
0,0.9249617392927542,0.00042252097886416877,1.0489230011444757,0.4662496983679275,0.0892020122410414,0.010763909280806862,0.0019439091644863626
1,0.9255119105124198,0.0004132953377394156,1.000751969986609,0.37014182192942485,0.3287347194794281,4.021313874052339e-09,1.994957632619544
2,0.9356078481273619,0.00026699234887081816,0.9231476255783023,0.3513393973322555,0.6652945586994193,8.83373725123317e-24,0.8185810861551438
3,0.9716570742937828,2.2768479823772562e-05,0.8266376511996625,0.3131897427768278,0.7100008388622945,8.438047576688018e-27,0.6738280144783666
4,0.9969050120371055,2.9646736465143272e-08,0.7541029132236472,0.21891359968554855,0.7291443110032456,3.074617889270831e-28,0.8232814290459226
5,0.9969642696857395,2.7976253998546822e-08,0.7494856654124655,0.2172419222348595,0.6792355577125635,1.12210020517058e-24,0.6084096851005857
6,0.996976764482114,2.7632230531150465e-08,0.747944689917739,0.21653393513963093,0.679534266051717,1.0725253213001333e-24,0.6048129688049346
7,0.9970043021990264,2.688400712690822e-08,0.7440374054266425,0.21602540750367197,0.6776825782368685,1.4182844836069689e-24,0.5822951105362731
8,0.9970135459347587,2.6635908707077612e-08,0.7407578562719275,0.21580575667461763,0.6851912715675437,4.521349825583283e-25,0.5871967350893357
9,0.9971428660508903,2.3323397005114697e-08,0.7372525338704623,0.21617154405056388,0.7120031527670302,6.0298300675164134e-27,0.7640859069541235
10,0.9972524918765255,2.0740391763804662e-08,0.734899240847408,0.218180139442461,0.6667656511046085,7.134497756382065e-24,0.7329886841408507
11,0.9973264636012557,1.9109895117243207e-08,0.7398839395116072,0.22024703784434885,0.6088361638614492,1.6958865076537677e-20,0.7397175898584916
12,0.9973248076094362,1.9145427196229516e-08,0.7449349426859342,0.22239372672354996,0.3627852081831273,3.220057733407051e-10,0.13285636564925196
13,0.9973269120926491,1.9100279554311733e-08,0.7431313141277257,0.2241956687534659,0.3183757608065956,8.451499275446715e-09,0.05056440503630258
14,0.997161973661113,2.2858580897374476e-08,0.7456675999823208,0.2237211545805695,0.3059230545991295,2.03361868204597e-08,0.013062478237605058
15,0.997251577783212,2.076109957699888e-08,0.7394555894111573,0.22280994291742973,0.3419890713041245,1.5286416085216417e-09,0.1154564371589754
16,0.9972411719042995,2.0997806075233835e-08,0.7339789684019802,0.22112736513560577,0.3527065417651216,6.89301254413063e-10,0.1257667154512123
17,0.9972774062123069,2.0181272552369972e-08,0.7291273251945711,0.22058231750698865,0.3311060168480813,3.3871040310460724e-09,0.03284398847822161
18,0.997237042081974,2.109224517897474e-08,0.7251104747234723,0.2189119513788201,0.36378059757673864,2.984936566031134e-10,0.11892123569414131
19,0.9972330470432079,2.1183871152183443e-08,0.7195728232487959,0.2182641993004331,0.33234186238981445,3.0965358602435235e-09,0.019379137107978523
20,0.9972044477409407,2.184755521724095e-08,0.7155052262904131,0.21644832503003292,0.36094392372468975,3.703735594253972e-10,0.09819418284276969
21,0.9971313333241012,2.3606970932216686e-08,0.7071584544799964,0.21480431823306534,0.33502976733867074,2.546284475387464e-09,0.008191695735728154
22,0.9970340123832138,2.6092037886174927e-08,0.7030697188351142,0.21230294637045868,0.33741492659831473,2.139045021426543e-09,0.0039041686399590055
23,0.9969953663253001,2.712530255485982e-08,0.695569561944483,0.21083944626029322,0.3604980638599836,3.831160869405189e-10,0.07827783968996968
24,0.9969717807385956,2.7769109470099527e-08,0.6891422709833606,0.20907599977051317,0.35812493372467236,4.585107585861956e-10,0.06925390839403595
25,0.9968825073414451,3.02981644346318e-08,0.6838277780962012,0.20676488871062254,0.3358779349550933,2.393445912900551e-09,0.0008205177133903087
26,0.9968046561826528,3.2625170096313023e-08,0.6765688465744717,0.20457311317436294,0.3556916495149446,5.508677659293633e-10,0.05343776361412131
27,0.9966932669474169,3.615741793969725e-08,0.6684807302070822,0.20141817703909404,0.34295837524547335,1.4231637145044506e-09,0.009050461122717431
28,0.9965722764160337,4.02733148907156e-08,0.6613173191633528,0.19867505100897506,0.34348931856787124,1.3684443100375348e-09,0.0016641753878250385
29,0.9828574407806062,5.037638220146872e-06,0.5957787978746467,0.19723610852112416,0.34991527635864916,8.492647376113907e-10,0.0015603500928293
30,0.9828840184941672,5.0142435629010335e-06,0.5911435721710891,0.1934152041728636,0.3516517309814199,7.459423268281493e-10,0.0010090815803654788
31,0.9827822693907758,5.1042004975971e-06,0.5830463637291842,0.18955926903168607,0.33789892180321734,2.0645638216512914e-09,0.00017559329102185767
32,0.9827461929610402,5.1363523711876345e-06,0.5743584401554437,0.1850039825515916,0.3523039652994391,7.104034382554811e-10,0.0002979551867785052
33,0.9830546730902935,4.865750713776594e-06,0.5500006666562568,0.1787772322499007,0.34408016737029623,1.3099719170152286e-09,0.0001642928840355068
34,0.9831902131606163,4.749923541004514e-06,0.5211845907599981,0.17028941030170086,0.35523875786732195,5.699644641503301e-10,0.00013267690177130528
35,0.9830093777595527,4.904873966704275e-06,0.49670145520188486,0.15823250717220846,0.35658059684159105,5.151888367109226e-10,0.00011935821641116662
36,0.9824571055301642,5.398880969700645e-06,0.44207773379913295,0.12085335787899883,0.6030072195760497,3.475013785455438e-20,0.0002578070461249323
