n,model,human_MNL,residual,prominent
1,0.0,0.0,0.0,True
2,0.01440673060046709,0.15051499783199057,-0.13610826723152347,True
3,0.07881792591144739,0.23856062735983122,-0.15974270144838382,False
4,0.12032516660563347,0.30102999566398114,-0.18070482905834767,False
5,0.1493843955350434,0.3494850021680094,-0.20010060663296597,True
6,0.16008583852651276,0.38907562519182176,-0.228989786665309,False
7,0.19138875199249034,0.42254902000712835,-0.23116026801463802,False
8,0.16631631042860867,0.4515449934959717,-0.28522868306736304,False
9,0.18542815689689982,0.47712125471966244,-0.29169309782276265,False
10,0.16768616831901972,0.5,-0.3323138316809803,True
11,0.1905689072570588,0.5206963425791125,-0.3301274353220537,False
12,0.17907363223507977,0.5395906230238123,-0.36051699078873256,True
13,0.24701321822416564,0.5569716761534184,-0.3099584579292527,False
14,0.1483588166859282,0.5730640178391189,-0.42470520115319066,False
15,0.2444423882351453,0.5880456295278406,-0.34360324129269526,True
16,0.20736344204704082,0.6020599913279623,-0.39469654928092146,False
17,0.2728636838004439,0.6152244606891369,-0.34236077688869304,False
18,0.25062925414831927,0.6276362525516529,-0.3770069984033336,False
19,0.20704585967099873,0.6393768004764144,-0.4323309408054157,False
20,0.21240009259909204,0.6505149978319905,-0.4381149052328985,True
21,0.24186968013323498,0.6611096473669595,-0.4192399672337246,False
22,0.2715771713545151,0.6712113404111031,-0.399634169056588,False
23,0.2671325207686789,0.6808639180087964,-0.41373139724011754,False
24,0.25934577080704285,0.690105620855803,-0.4307598500487601,True
25,0.26371046138645854,0.6989700043360187,-0.4352595429495602,True
26,0.6379029309329205,0.707486673985409,-0.06958374305248849,False
27,0.29569951969584385,0.7156818820794936,-0.4199823623836497,False
28,0.2969361087681279,0.7235790156711095,-0.42664290690298157,False
29,0.31274056957465884,0.731198998949478,-0.4184584293748192,False
30,0.21841538728627635,0.7385606273598312,-0.5201452400735549,False
31,0.28341847015815513,0.7456808469171363,-0.4622623767589812,False
32,0.06066161646631056,0.7525749891599529,-0.6919133726936424,False
