op,a,b,x,y,answer,problem_size,freq,surprisal,target_logprob,avg_target_logprob,n_target_tokens,prediction,correct
+,1,1,1,1,2,2,7196,4.86328125,-4.86328125,-4.86328125,1,70,False
+,1,2,1,2,3,3,2808,5.578125,-5.578125,-5.578125,1,70,False
+,1,3,1,3,4,4,1111,5.7109375,-5.7109375,-5.7109375,1,110,False
+,1,4,1,4,5,5,787,5.453125,-5.453125,-5.453125,1,14,False
+,1,5,1,5,6,6,400,4.9765625,-4.9765625,-4.9765625,1,14,False
+,1,6,1,6,7,7,300,4.6953125,-4.6953125,-4.6953125,1,70,False
+,1,7,1,7,8,8,200,5.01171875,-5.01171875,-5.01171875,1,80,False
+,1,8,1,8,9,9,413,5.44140625,-5.44140625,-5.44140625,1,70,False
+,1,9,1,9,10,10,217,4.83984375,-4.83984375,-4.83984375,1,70,False
+,1,10,1,10,11,11,86,5.2578125,-5.2578125,-5.2578125,1,70,False
+,1,11,1,11,12,12,37,4.71484375,-4.71484375,-4.71484375,1,70,False
+,1,12,1,12,13,13,22,4.71484375,-4.71484375,-4.71484375,1,70,False
+,1,13,1,13,14,14,13,4.34765625,-4.34765625,-4.34765625,1,70,False
+,1,14,1,14,15,15,10,4.51953125,-4.51953125,-4.51953125,1,70,False
+,1,15,1,15,16,16,16,5.34375,-5.34375,-5.34375,1,70,False
+,1,16,1,16,17,17,25,5.703125,-5.703125,-5.703125,1,70,False
+,1,17,1,17,18,18,11,5.67578125,-5.67578125,-5.67578125,1,70,False
+,1,18,1,18,19,19,7,6.22265625,-6.22265625,-6.22265625,1,70,False
+,1,19,1,19,20,20,13,5.78125,-5.78125,-5.78125,1,70,False
+,1,20,1,20,21,21,22,5.96875,-5.96875,-5.96875,1,70,False
+,1,21,1,21,22,22,2,5.359375,-5.359375,-5.359375,1,70,False
+,1,22,1,22,23,23,2,5.875,-5.875,-5.875,1,70,False
+,1,23,1,23,24,24,9,5.66015625,-5.66015625,-5.66015625,1,70,False
+,1,24,1,24,25,25,8,5.84765625,-5.84765625,-5.84765625,1,70,False
+,1,25,1,25,26,26,7,6.21875,-6.21875,-6.21875,1,70,False
+,1,26,1,26,27,27,5,6.32421875,-6.32421875,-6.32421875,1,70,False
+,1,27,1,27,28,28,3,5.8046875,-5.8046875,-5.8046875,1,70,False
+,1,28,1,28,29,29,4,6.0,-6.0,-6.0,1,70,False
+,1,29,1,29,30,30,6,5.3203125,-5.3203125,-5.3203125,1,70,False
+,1,30,1,30,31,31,2,6.171875,-6.171875,-6.171875,1,70,False
+,1,31,1,31,32,32,8,5.359375,-5.359375,-5.359375,1,70,False
+,1,32,1,32,33,33,3,5.828125,-5.828125,-5.828125,1,70,False
+,1,33,1,33,34,34,1,4.74609375,-4.74609375,-4.74609375,1,70,False
+,1,34,1,34,35,35,3,5.078125,-5.078125,-5.078125,1,70,False
+,1,35,1,35,36,36,10,5.44921875,-5.44921875,-5.44921875,1,70,False
+,1,36,1,36,37,37,7,5.609375,-5.609375,-5.609375,1,70,False
+,1,37,1,37,38,38,0,4.9140625,-4.9140625,-4.9140625,1,80,False
+,1,38,1,38,39,39,1,5.77734375,-5.77734375,-5.77734375,1,80,False
+,1,39,1,39,40,40,1,4.984375,-4.984375,-4.984375,1,80,False
+,1,40,1,40,41,41,2,5.44921875,-5.44921875,-5.44921875,1,70,False
+,1,41,1,41,42,42,0,5.36328125,-5.36328125,-5.36328125,1,70,False
+,1,42,1,42,43,43,2,5.33984375,-5.33984375,-5.33984375,1,80,False
+,1,43,1,43,44,44,0,5.21875,-5.21875,-5.21875,1,70,False
+,1,44,1,44,45,45,2,5.5390625,-5.5390625,-5.5390625,1,70,False
+,1,45,1,45,46,46,2,5.47265625,-5.47265625,-5.47265625,1,70,False
+,1,46,1,46,47,47,0,5.4765625,-5.4765625,-5.4765625,1,70,False
+,1,47,1,47,48,48,0,5.6015625,-5.6015625,-5.6015625,1,70,False
