op,a,b,x,y,answer,problem_size,freq,surprisal,target_logprob,avg_target_logprob,n_target_tokens,prediction,correct
+,1,1,1,1,2,2,7196,0.294677734375,-0.294677734375,-0.294677734375,1,2,True
+,1,2,1,2,3,3,2808,0.2386474609375,-0.2386474609375,-0.2386474609375,1,3,True
+,1,3,1,3,4,4,1111,0.32421875,-0.32421875,-0.32421875,1,4,True
+,1,4,1,4,5,5,787,0.055999755859375,-0.055999755859375,-0.055999755859375,1,5,True
+,1,5,1,5,6,6,400,0.07427978515625,-0.07427978515625,-0.07427978515625,1,6,True
+,1,6,1,6,7,7,300,0.00933837890625,-0.00933837890625,-0.00933837890625,1,7,True
+,1,7,1,7,8,8,200,0.0325927734375,-0.0325927734375,-0.0325927734375,1,8,True
+,1,8,1,8,9,9,413,0.005481719970703125,-0.005481719970703125,-0.005481719970703125,1,9,True
+,1,9,1,9,10,10,217,0.07318115234375,-0.07318115234375,-0.07318115234375,1,10,True
+,1,10,1,10,11,11,86,0.08233642578125,-0.08233642578125,-0.08233642578125,1,11,True
+,1,11,1,11,12,12,37,0.048583984375,-0.048583984375,-0.048583984375,1,12,True
+,1,12,1,12,13,13,22,0.032684326171875,-0.032684326171875,-0.032684326171875,1,13,True
+,1,13,1,13,14,14,13,0.2254638671875,-0.2254638671875,-0.2254638671875,1,14,True
+,1,14,1,14,15,15,10,0.064208984375,-0.064208984375,-0.064208984375,1,15,True
+,1,15,1,15,16,16,16,0.06610107421875,-0.06610107421875,-0.06610107421875,1,16,True
+,1,16,1,16,17,17,25,0.03863525390625,-0.03863525390625,-0.03863525390625,1,17,True
+,1,17,1,17,18,18,11,0.080322265625,-0.080322265625,-0.080322265625,1,18,True
+,1,18,1,18,19,19,7,0.067626953125,-0.067626953125,-0.067626953125,1,19,True
+,1,19,1,19,20,20,13,0.12322998046875,-0.12322998046875,-0.12322998046875,1,20,True
+,1,20,1,20,21,21,22,0.042816162109375,-0.042816162109375,-0.042816162109375,1,21,True
+,1,21,1,21,22,22,2,0.06304931640625,-0.06304931640625,-0.06304931640625,1,22,True
+,1,22,1,22,23,23,2,0.146484375,-0.146484375,-0.146484375,1,23,True
+,1,23,1,23,24,24,9,0.305908203125,-0.305908203125,-0.305908203125,1,24,True
+,1,24,1,24,25,25,8,0.04815673828125,-0.04815673828125,-0.04815673828125,1,25,True
+,1,25,1,25,26,26,7,0.30517578125,-0.30517578125,-0.30517578125,1,26,True
+,1,26,1,26,27,27,5,0.04071044921875,-0.04071044921875,-0.04071044921875,1,27,True
+,1,27,1,27,28,28,3,0.29541015625,-0.29541015625,-0.29541015625,1,28,True
+,1,28,1,28,29,29,4,0.1595458984375,-0.1595458984375,-0.1595458984375,1,29,True
+,1,29,1,29,30,30,6,0.26611328125,-0.26611328125,-0.26611328125,1,30,True
+,1,30,1,30,31,31,2,0.0305938720703125,-0.0305938720703125,-0.0305938720703125,1,31,True
+,1,31,1,31,32,32,8,0.1058349609375,-0.1058349609375,-0.1058349609375,1,32,True
+,1,32,1,32,33,33,3,0.03131103515625,-0.03131103515625,-0.03131103515625,1,33,True
+,1,33,1,33,34,34,1,0.10211181640625,-0.10211181640625,-0.10211181640625,1,34,True
+,1,34,1,34,35,35,3,0.056549072265625,-0.056549072265625,-0.056549072265625,1,35,True
+,1,35,1,35,36,36,10,0.2841796875,-0.2841796875,-0.2841796875,1,36,True
+,1,36,1,36,37,37,7,0.037322998046875,-0.037322998046875,-0.037322998046875,1,37,True
+,1,37,1,37,38,38,0,0.1907958984375,-0.1907958984375,-0.1907958984375,1,38,True
+,1,38,1,38,39,39,1,0.097900390625,-0.097900390625,-0.097900390625,1,39,True
+,1,39,1,39,40,40,1,0.12225341796875,-0.12225341796875,-0.12225341796875,1,40,True
+,1,40,1,40,41,41,2,0.052490234375,-0.052490234375,-0.052490234375,1,41,True
