op,a,b,x,y,answer,problem_size,freq,surprisal,target_logprob,avg_target_logprob,n_target_tokens,prediction,correct
-,1,1,2,1,1,1,1106,1.0126953125,-1.0126953125,-1.0126953125,1,1,True
-,1,2,3,2,1,1,520,0.1153564453125,-0.1153564453125,-0.1153564453125,1,1,True
-,1,3,4,3,1,1,259,0.165283203125,-0.165283203125,-0.165283203125,1,1,True
-,1,4,5,4,1,1,179,0.0266265869140625,-0.0266265869140625,-0.0266265869140625,1,1,True
-,1,5,6,5,1,1,89,0.008056640625,-0.008056640625,-0.008056640625,1,1,True
-,1,6,7,6,1,1,76,0.0447998046875,-0.0447998046875,-0.0447998046875,1,1,True
-,1,7,8,7,1,1,60,0.03369140625,-0.03369140625,-0.03369140625,1,1,True
-,1,8,9,8,1,1,67,0.016998291015625,-0.016998291015625,-0.016998291015625,1,1,True
-,1,9,10,9,1,1,50,0.0277557373046875,-0.0277557373046875,-0.0277557373046875,1,1,True
-,1,10,11,10,1,1,27,0.00861358642578125,-0.00861358642578125,-0.00861358642578125,1,1,True
-,1,11,12,11,1,1,10,0.1036376953125,-0.1036376953125,-0.1036376953125,1,1,True
-,1,12,13,12,1,1,11,0.02349853515625,-0.02349853515625,-0.02349853515625,1,1,True
-,1,13,14,13,1,1,7,0.1031494140625,-0.1031494140625,-0.1031494140625,1,1,True
-,1,14,15,14,1,1,10,0.03533935546875,-0.03533935546875,-0.03533935546875,1,1,True
-,1,15,16,15,1,1,16,0.041748046875,-0.041748046875,-0.041748046875,1,1,True
-,1,16,17,16,1,1,11,0.2188720703125,-0.2188720703125,-0.2188720703125,1,1,True
-,1,17,18,17,1,1,7,0.0655517578125,-0.0655517578125,-0.0655517578125,1,1,True
-,1,18,19,18,1,1,1,0.024505615234375,-0.024505615234375,-0.024505615234375,1,1,True
-,1,19,20,19,1,1,5,0.1983642578125,-0.1983642578125,-0.1983642578125,1,1,True
-,1,20,21,20,1,1,16,0.066162109375,-0.066162109375,-0.066162109375,1,1,True
-,1,21,22,21,1,1,7,0.336669921875,-0.336669921875,-0.336669921875,1,1,True
-,1,22,23,22,1,1,5,0.336181640625,-0.336181640625,-0.336181640625,1,1,True
-,1,23,24,23,1,1,0,0.308349609375,-0.308349609375,-0.308349609375,1,1,True
-,1,24,25,24,1,1,6,0.0712890625,-0.0712890625,-0.0712890625,1,1,True
-,1,25,26,25,1,1,1,0.162841796875,-0.162841796875,-0.162841796875,1,1,True
-,1,26,27,26,1,1,4,2.98828125,-2.98828125,-2.98828125,1,2,False
-,1,27,28,27,1,1,4,0.4267578125,-0.4267578125,-0.4267578125,1,1,True
-,1,28,29,28,1,1,2,0.1767578125,-0.1767578125,-0.1767578125,1,1,True
-,1,29,30,29,1,1,2,0.09686279296875,-0.09686279296875,-0.09686279296875,1,1,True
-,1,30,31,30,1,1,4,0.082763671875,-0.082763671875,-0.082763671875,1,1,True
-,1,31,32,31,1,1,1,0.56591796875,-0.56591796875,-0.56591796875,1,1,True
-,1,32,33,32,1,1,4,0.03399658203125,-0.03399658203125,-0.03399658203125,1,1,True
-,1,33,34,33,1,1,2,0.158203125,-0.158203125,-0.158203125,1,1,True
-,1,34,35,34,1,1,3,0.0845947265625,-0.0845947265625,-0.0845947265625,1,1,True
-,1,35,36,35,1,1,4,0.1427001953125,-0.1427001953125,-0.1427001953125,1,1,True
-,1,36,37,36,1,1,1,0.25927734375,-0.25927734375,-0.25927734375,1,1,True
-,1,37,38,37,1,1,0,0.2476806640625,-0.2476806640625,-0.2476806640625,1,1,True
-,1,38,39,38,1,1,3,0.043121337890625,-0.043121337890625,-0.043121337890625,1,1,True
-,1,39,40,39,1,1,1,0.0460205078125,-0.0460205078125,-0.0460205078125,1,1,True
-,1,40,41,40,1,1,2,0.2332763671875,-0.2332763671875,-0.2332763671875,1,1,True
-,1,41,42,41,1,1,0,0.10186767578125,-0.10186767578125,-0.10186767578125,1,1,True
-,1,42,43,42,1,1,0,0.1439208984375,-0.1439208984375,-0.1439208984375,1,1,True
-,1,43,44,43,1,1,0,0.3046875,-0.3046875,-0.3046875,1,1,True
-,1,44,45,44,1,1,1,0.34033203125,-0.34033203125,-0.34033203125,1,1,True
-,1,45,46,45,1,1,0,0.19091796875,-0.19091796875,-0.19091796875,1,1,True
-,1,46,47,46,1,1,2,2.431640625,-2.431640625,-2.431640625,1,-2,False
-,1,47,48,47,1,1,0,0.350830078125,-0.350830078125,-0.350830078125,1,1,True
-,1,48,49,48,1,1,21,0.1488037109375,-0.1488037109375,-0.1488037109375,1,1,True
-,1,49,50,49,1,1,1,0.134765625,-0.134765625,-0.134765625,1,1,True
-,1,50,51,50,1,1,1,0.361083984375,-0.361083984375,-0.361083984375,1,1,True
-,1,51,52,51,1,1,2,0.4306640625,-0.4306640625,-0.4306640625,1,1,True
-,1,52,53,52,1,1,0,1.0107421875,-1.0107421875,-1.0107421875,1,1,True
-,1,53,54,53,1,1,0,0.3212890625,-0.3212890625,-0.3212890625,1,1,True
-,1,54,55,54,1,1,0,1.2529296875,-1.2529296875,-1.2529296875,1,-1,False
-,1,55,56,55,1,1,0,1.2392578125,-1.2392578125,-1.2392578125,1,1,True
-,1,56,57,56,1,1,0,2.015625,-2.015625,-2.015625,1,-1,False
-,1,57,58,57,1,1,1,1.0908203125,-1.0908203125,-1.0908203125,1,0,False
-,1,58,59,58,1,1,1,3.880859375,-3.880859375,-3.880859375,1,0,False
-,1,59,60,59,1,1,1,1.052734375,-1.052734375,-1.052734375,1,0,False
-,1,60,61,60,1,1,1,0.1749267578125,-0.1749267578125,-0.1749267578125,1,1,True
-,1,61,62,61,1,1,0,1.6376953125,-1.6376953125,-1.6376953125,1,0,False
-,1,62,63,62,1,1,0,4.08203125,-4.08203125,-4.08203125,1,0,False
-,1,63,64,63,1,1,1,0.58349609375,-0.58349609375,-0.58349609375,1,1,True
-,1,64,65,64,1,1,6,1.2412109375,-1.2412109375,-1.2412109375,1,0,False
-,1,65,66,65,1,1,4,0.86669921875,-0.86669921875,-0.86669921875,1,1,True
-,1,66,67,66,1,1,0,0.86474609375,-0.86474609375,-0.86474609375,1,1,True
-,1,67,68,67,1,1,0,2.1953125,-2.1953125,-2.1953125,1,0,False
-,1,68,69,68,1,1,0,1.271484375,-1.271484375,-1.271484375,1,-1,False
-,1,69,70,69,1,1,0,1.4208984375,-1.4208984375,-1.4208984375,1,0,False
-,1,70,71,70,1,1,0,1.6240234375,-1.6240234375,-1.6240234375,1,-1,False
-,1,71,72,71,1,1,0,0.71337890625,-0.71337890625,-0.71337890625,1,1,True
-,1,72,73,72,1,1,1,0.4140625,-0.4140625,-0.4140625,1,1,True
-,1,73,74,73,1,1,0,1.55859375,-1.55859375,-1.55859375,1,-1,False
-,1,74,75,74,1,1,1,1.1240234375,-1.1240234375,-1.1240234375,1,-1,False
-,1,75,76,75,1,1,1,1.6123046875,-1.6123046875,-1.6123046875,1,-1,False
-,1,76,77,76,1,1,0,1.9375,-1.9375,-1.9375,1,0,False
-,1,77,78,77,1,1,0,1.8701171875,-1.8701171875,-1.8701171875,1,-1,False
-,1,78,79,78,1,1,0,1.82421875,-1.82421875,-1.82421875,1,0,False
-,1,79,80,79,1,1,0,0.80712890625,-0.80712890625,-0.80712890625,1,1,True
-,1,80,81,80,1,1,4,0.73681640625,-0.73681640625,-0.73681640625,1,1,True
-,1,81,82,81,1,1,0,0.421875,-0.421875,-0.421875,1,1,True
-,1,82,83,82,1,1,1,1.162109375,-1.162109375,-1.162109375,1,1,True
-,1,83,84,83,1,1,0,0.9501953125,-0.9501953125,-0.9501953125,1,1,True
-,1,84,85,84,1,1,0,1.2392578125,-1.2392578125,-1.2392578125,1,-1,False
-,1,85,86,85,1,1,0,1.1630859375,-1.1630859375,-1.1630859375,1,1,True
-,1,86,87,86,1,1,0,1.724609375,-1.724609375,-1.724609375,1,-1,False
-,1,87,88,87,1,1,0,1.2158203125,-1.2158203125,-1.2158203125,1,-1,False
-,1,88,89,88,1,1,0,0.85107421875,-0.85107421875,-0.85107421875,1,1,True
-,1,89,90,89,1,1,2,0.55126953125,-0.55126953125,-0.55126953125,1,1,True
-,1,90,91,90,1,1,0,2.21484375,-2.21484375,-2.21484375,1,-1,False
-,1,91,92,91,1,1,1,0.99951171875,-0.99951171875,-0.99951171875,1,1,True
-,1,92,93,92,1,1,0,0.7041015625,-0.7041015625,-0.7041015625,1,1,True
-,1,93,94,93,1,1,0,1.1142578125,-1.1142578125,-1.1142578125,1,-1,False
-,1,94,95,94,1,1,0,2.068359375,-2.068359375,-2.068359375,1,0,False
-,1,95,96,95,1,1,1,2.009765625,-2.009765625,-2.009765625,1,0,False
-,1,96,97,96,1,1,1,1.01953125,-1.01953125,-1.01953125,1,1,True
-,1,97,98,97,1,1,6,0.98291015625,-0.98291015625,-0.98291015625,1,1,True
-,1,98,99,98,1,1,1,0.1971435546875,-0.1971435546875,-0.1971435546875,1,1,True
-,1,99,100,99,1,1,4,0.1597900390625,-0.1597900390625,-0.1597900390625,1,1,True
-,1,100,101,100,1,1,5,0.931640625,-0.931640625,-0.931640625,1,0,False
-,2,1,3,1,2,2,1135,1.2421875,-1.2421875,-1.2421875,1,0,False
-,2,2,4,2,2,2,685,0.318603515625,-0.318603515625,-0.318603515625,1,2,True
-,2,3,5,3,2,2,514,0.0660400390625,-0.0660400390625,-0.0660400390625,1,2,True
-,2,4,6,4,2,2,298,0.0234832763671875,-0.0234832763671875,-0.0234832763671875,1,2,True
-,2,5,7,5,2,2,147,0.01122283935546875,-0.01122283935546875,-0.01122283935546875,1,2,True
-,2,6,8,6,2,2,132,0.038665771484375,-0.038665771484375,-0.038665771484375,1,2,True
-,2,7,9,7,2,2,93,0.1173095703125,-0.1173095703125,-0.1173095703125,1,2,True
-,2,8,10,8,2,2,111,0.037139892578125,-0.037139892578125,-0.037139892578125,1,2,True
-,2,9,11,9,2,2,55,0.00930023193359375,-0.00930023193359375,-0.00930023193359375,1,2,True
-,2,10,12,10,2,2,50,0.0302886962890625,-0.0302886962890625,-0.0302886962890625,1,2,True
-,2,11,13,11,2,2,33,0.0225067138671875,-0.0225067138671875,-0.0225067138671875,1,2,True
-,2,12,14,12,2,2,21,0.126953125,-0.126953125,-0.126953125,1,2,True
-,2,13,15,13,2,2,22,0.025360107421875,-0.025360107421875,-0.025360107421875,1,2,True
-,2,14,16,14,2,2,18,0.06683349609375,-0.06683349609375,-0.06683349609375,1,2,True
-,2,15,17,15,2,2,21,0.024993896484375,-0.024993896484375,-0.024993896484375,1,2,True
-,2,16,18,16,2,2,18,0.06512451171875,-0.06512451171875,-0.06512451171875,1,2,True
-,2,17,19,17,2,2,9,0.1005859375,-0.1005859375,-0.1005859375,1,2,True
-,2,18,20,18,2,2,18,0.0251312255859375,-0.0251312255859375,-0.0251312255859375,1,2,True
