op,a,b,x,y,answer,problem_size,freq,surprisal,target_logprob,avg_target_logprob,n_target_tokens,prediction,correct
-,1,1,2,1,1,1,1106,3.84765625,-3.84765625,-3.84765625,1,-0,False
-,1,2,3,2,1,1,520,4.06640625,-4.06640625,-4.06640625,1,-0,False
-,1,3,4,3,1,1,259,3.923828125,-3.923828125,-3.923828125,1,-0,False
-,1,4,5,4,1,1,179,4.171875,-4.171875,-4.171875,1,-1,False
-,1,5,6,5,1,1,89,4.2421875,-4.2421875,-4.2421875,1,-2,False
-,1,6,7,6,1,1,76,4.171875,-4.171875,-4.171875,1,-3,False
-,1,7,8,7,1,1,60,4.28515625,-4.28515625,-4.28515625,1,-3,False
-,1,8,9,8,1,1,67,3.9375,-3.9375,-3.9375,1,-1,False
-,1,9,10,9,1,1,50,4.2578125,-4.2578125,-4.2578125,1,-1,False
-,1,10,11,10,1,1,27,4.203125,-4.203125,-4.203125,1,-3,False
-,1,11,12,11,1,1,10,4.80859375,-4.80859375,-4.80859375,1,-2,False
-,1,12,13,12,1,1,11,4.33984375,-4.33984375,-4.33984375,1,-6,False
-,1,13,14,13,1,1,7,3.94140625,-3.94140625,-3.94140625,1,-2,False
-,1,14,15,14,1,1,10,4.81640625,-4.81640625,-4.81640625,1,-6,False
-,1,15,16,15,1,1,16,4.05078125,-4.05078125,-4.05078125,1,-6,False
-,1,16,17,16,1,1,11,4.40625,-4.40625,-4.40625,1,-5,False
-,1,17,18,17,1,1,7,4.60546875,-4.60546875,-4.60546875,1,-6,False
-,1,18,19,18,1,1,1,4.71484375,-4.71484375,-4.71484375,1,-0,False
-,1,19,20,19,1,1,5,4.58984375,-4.58984375,-4.58984375,1,-2,False
-,1,20,21,20,1,1,16,4.58984375,-4.58984375,-4.58984375,1,-2,False
-,1,21,22,21,1,1,7,4.48828125,-4.48828125,-4.48828125,1,-6,False
-,1,22,23,22,1,1,5,4.46875,-4.46875,-4.46875,1,-6,False
-,1,23,24,23,1,1,0,4.1328125,-4.1328125,-4.1328125,1,-6,False
-,1,24,25,24,1,1,6,4.29296875,-4.29296875,-4.29296875,1,-0,False
-,1,25,26,25,1,1,1,4.41796875,-4.41796875,-4.41796875,1,-3,False
-,1,26,27,26,1,1,4,4.58203125,-4.58203125,-4.58203125,1,-0,False
-,1,27,28,27,1,1,4,4.640625,-4.640625,-4.640625,1,-2,False
-,1,28,29,28,1,1,2,3.90234375,-3.90234375,-3.90234375,1,-6,False
-,1,29,30,29,1,1,2,3.94921875,-3.94921875,-3.94921875,1,-0,False
-,1,30,31,30,1,1,4,4.28125,-4.28125,-4.28125,1,-3,False
-,1,31,32,31,1,1,1,4.0859375,-4.0859375,-4.0859375,1,-1,False
-,1,32,33,32,1,1,4,4.15234375,-4.15234375,-4.15234375,1,-6,False
-,1,33,34,33,1,1,2,4.4609375,-4.4609375,-4.4609375,1,-6,False
-,1,34,35,34,1,1,3,3.794921875,-3.794921875,-3.794921875,1,-3,False
-,1,35,36,35,1,1,4,3.94140625,-3.94140625,-3.94140625,1,-3,False
-,1,36,37,36,1,1,1,4.640625,-4.640625,-4.640625,1,-2,False
-,1,37,38,37,1,1,0,3.634765625,-3.634765625,-3.634765625,1,-2,False
-,1,38,39,38,1,1,3,4.109375,-4.109375,-4.109375,1,-6,False
-,1,39,40,39,1,1,1,4.05859375,-4.05859375,-4.05859375,1,-0,False
-,1,40,41,40,1,1,2,4.22265625,-4.22265625,-4.22265625,1,-5,False
-,1,41,42,41,1,1,0,3.810546875,-3.810546875,-3.810546875,1,-6,False
