model,operation,n,mean_acc,sd_acc,r_surp_size,p_size,r_surp_logfreq,p_logfreq,r_surp_rawfreq,p_rawfreq,mean_surprisal
pythia-70m-deduped,Addition,10000,0.0067,0.08157885755512882,0.5379558006047058,0.0,-0.12572975530217026,1.6069693994154176e-36,-0.006415726364255509,0.5211985066004352,5.3530580078125
pythia-70m-deduped,Division,10000,0.0108,0.10336034055671448,0.48409636029338265,0.0,-0.16677818318560544,2.724228459890443e-63,-0.1057187623911912,2.971198270457027e-26,4.915266796875
pythia-70m-deduped,Multiplication,10000,0.0001,0.00999949998749938,0.6443069502439546,0.0,-0.5744610254464433,0.0,-0.29157393819747246,3.502340192711096e-195,9.2910578125
pythia-70m-deduped,Subtraction,10000,0.0,0.0,0.7506304045436456,0.0,-0.29122450169016867,1.0666919436120018e-194,-0.10750237061686654,4.2721185086826415e-27,5.254948046875
pythia-160m-deduped,Addition,10000,0.0083,0.09072546500294171,0.25132187427103864,7.08502109102716e-144,0.10212112388612637,1.3451969691360962e-24,0.011270432983377073,0.25976861173415217,5.15586640625
pythia-160m-deduped,Division,10000,0.0106,0.10240917927607858,0.7000046115718854,0.0,-0.2656569924261347,3.8353044527404274e-161,-0.17129982633018637,1.016878457502741e-66,5.06464169921875
pythia-160m-deduped,Multiplication,10000,0.0004,0.019995999599919986,0.6888267825814788,0.0,-0.6154917338214996,0.0,-0.30644716294184265,2.0655759176869582e-216,8.71951962890625
pythia-160m-deduped,Subtraction,10000,0.0004,0.019995999599919982,0.7543489761523561,0.0,-0.27129200437695045,3.12927347523483e-168,-0.12465060279988395,6.392292940622057e-36,5.4543251953125
pythia-410m-deduped,Addition,10000,0.0005,0.022355088906108163,0.6940855292373329,0.0,-0.43698465588410124,0.0,-0.0914846957749487,4.8838654124789454e-20,4.6519791015625
pythia-410m-deduped,Division,10000,0.0092,0.09547439447307324,0.675572523159446,0.0,-0.29100799037011826,2.1251223304091863e-194,-0.20186158525354922,1.8936999938291156e-92,4.88243818359375
pythia-410m-deduped,Multiplication,10000,0.0024,0.04893097178679368,0.6839832993459315,0.0,-0.6365520064922257,0.0,-0.3252834166680404,3.878421031987596e-245,8.1575775390625
pythia-410m-deduped,Subtraction,10000,0.0,0.0,0.6940921536915441,0.0,-0.4873817241265404,0.0,-0.20794185923507755,4.14704137363646e-98,5.016192578125
pythia-1b-deduped,Addition,10000,0.0822,0.2746691828363714,0.671244028372993,0.0,-0.44697661692550716,0.0,-0.13621724077472452,1.2680572885591875e-42,4.024897058105469
pythia-1b-deduped,Division,10000,0.0213,0.14438251279154274,0.41996612856090976,0.0,-0.2946605373349126,1.7462497165784327e-199,-0.22530195347183374,2.811625545456024e-115,4.575675061035156
pythia-1b-deduped,Multiplication,10000,0.0196,0.13862121049824952,0.5734515373556633,0.0,-0.6203483765698131,0.0,-0.30471633144090177,7.0894164563706336e-214,7.791931524658203
pythia-1b-deduped,Subtraction,10000,0.0125,0.11110243021644486,0.28248128561148267,8.089951413310405e-183,-0.39188334686514503,0.0,-0.20154450360506956,3.693780858309633e-92,4.78191455078125
pythia-1.4b-deduped,Addition,10000,0.2832,0.4505527272140299,0.6235262082872328,0.0,-0.5253197376641304,0.0,-0.09497802049983585,1.7631131600321595e-21,2.656130577468872
pythia-1.4b-deduped,Division,10000,0.1252,0.3309455544345625,0.3209832347531733,2.1446231331763975e-238,-0.3909208128945063,0.0,-0.1812599495619618,1.30162103039584e-74,3.6435463439941405
pythia-1.4b-deduped,Multiplication,10000,0.0532,0.22443208326796774,0.5709752551484725,0.0,-0.5815448369081909,0.0,-0.2413270941570642,1.7732616224456644e-132,6.875728900146484
pythia-1.4b-deduped,Subtraction,10000,0.0922,0.28930807109377366,0.4665369716101161,0.0,-0.5936981136652375,0.0,-0.2098345793766509,6.588410747978454e-100,3.9984004974365233
pythia-2.8b-deduped,Addition,10000,0.9118,0.28358554264983254,0.3199550391186994,8.457321505331987e-237,-0.2126361418929413,1.3287274581860535e-102,-0.02152648209133794,0.031347884891126054,0.3757084814071655
pythia-2.8b-deduped,Division,10000,0.3489,0.4766222718253943,0.43713063124490525,0.0,-0.3962318131150132,0.0,-0.168882702229892,7.108079092002387e-65,2.0329840209960937
pythia-2.8b-deduped,Multiplication,10000,0.2248,0.4174505479694571,0.5100611923143926,0.0,-0.531918895285478,0.0,-0.19346680856593373,6.219768115764952e-85,4.609251852798462
pythia-2.8b-deduped,Subtraction,10000,0.8637,0.3431068492467033,0.31110890389115425,2.509331184047825e-223,-0.1659426371648352,1.1432601503781174e-62,-0.045297856517613824,5.85537571188515e-06,0.4957696689605713
pythia-6.9b-deduped,Addition,10000,0.7057,0.4557274514443912,0.15580593763509104,2.2615445504728098e-55,-0.23040056282380844,1.3143749219207746e-120,-0.033273934376482406,0.0008750360943407999,0.9008700808525085
pythia-6.9b-deduped,Division,10000,0.3867,0.4869939527345282,0.4144137055688332,0.0,-0.30401051533551776,7.579367529567133e-213,-0.13380948250376512,3.536155573769051e-41,1.9423277290344239
pythia-6.9b-deduped,Multiplication,10000,0.332,0.470930992821666,0.5865615985693036,0.0,-0.4407394802123431,0.0,-0.1444498172177252,9.132959030316986e-48,3.8211103529453276
pythia-6.9b-deduped,Subtraction,10000,0.6745,0.46856136204343607,0.19588554867962718,4.605811957308331e-87,-0.21929405554393733,3.640891255555051e-109,-0.04475300987864277,7.570473130826965e-06,1.045940170955658
pythia-12b-deduped,Addition,10000,0.8608,0.34615510974128344,0.3160057116061764,9.97295285392411e-231,-0.23933175958917002,2.8986323239209992e-130,-0.03345302831383179,0.0008203932654972581,0.494082283115387
pythia-12b-deduped,Division,10000,0.3708,0.48301900583724444,0.44016882479744135,0.0,-0.2961953432001704,1.210001569738039e-201,-0.13073658052841022,2.2637642920332527e-39,1.9398222190856933
pythia-12b-deduped,Multiplication,10000,0.3824,0.48597349721975586,0.6046417409735305,0.0,-0.4634811480620945,0.0,-0.14808807039250632,3.878712114936523e-50,3.500243070602417
pythia-12b-deduped,Subtraction,10000,0.8065,0.3950414535210197,0.37298259050577176,0.0,-0.23580056225274515,2.133288656874077e-126,-0.05246917504342203,1.522001550440621e-07,0.6240025327682495
