op,a,b,x,y,answer,problem_size,freq,surprisal,target_logprob,avg_target_logprob,n_target_tokens,prediction,correct
+,10,10,10,10,20,20,228,0.425048828125,-0.425048828125,-0.425048828125,1,20,True
+,10,11,10,11,21,21,21,0.783203125,-0.783203125,-0.783203125,1,21,True
+,10,12,10,12,22,22,31,0.378173828125,-0.378173828125,-0.378173828125,1,22,True
+,10,13,10,13,23,23,17,0.896484375,-0.896484375,-0.896484375,1,23,True
+,10,14,10,14,24,24,13,1.72265625,-1.72265625,-1.72265625,1,28,False
+,10,15,10,15,25,25,56,0.859375,-0.859375,-0.859375,1,25,True
+,10,16,10,16,26,26,18,0.91259765625,-0.91259765625,-0.91259765625,1,26,True
+,10,17,10,17,27,27,8,2.1328125,-2.1328125,-2.1328125,1,37,False
+,10,18,10,18,28,28,8,1.1083984375,-1.1083984375,-1.1083984375,1,28,True
+,10,19,10,19,29,29,1,1.4287109375,-1.4287109375,-1.4287109375,1,29,True
+,10,20,10,20,30,30,89,0.6357421875,-0.6357421875,-0.6357421875,1,30,True
+,10,21,10,21,31,31,7,0.7578125,-0.7578125,-0.7578125,1,31,True
+,10,22,10,22,32,32,17,0.96630859375,-0.96630859375,-0.96630859375,1,32,True
+,10,23,10,23,33,33,5,1.3564453125,-1.3564453125,-1.3564453125,1,33,True
+,10,24,10,24,34,34,8,0.9580078125,-0.9580078125,-0.9580078125,1,34,True
+,10,25,10,25,35,35,15,1.0986328125,-1.0986328125,-1.0986328125,1,35,True
+,10,26,10,26,36,36,6,0.7294921875,-0.7294921875,-0.7294921875,1,36,True
+,10,27,10,27,37,37,2,1.26953125,-1.26953125,-1.26953125,1,37,True
+,10,28,10,28,38,38,1,0.53662109375,-0.53662109375,-0.53662109375,1,38,True
+,10,29,10,29,39,39,2,1.166015625,-1.166015625,-1.166015625,1,39,True
+,10,30,10,30,40,40,32,0.66357421875,-0.66357421875,-0.66357421875,1,40,True
+,10,31,10,31,41,41,1,0.29150390625,-0.29150390625,-0.29150390625,1,41,True
+,10,32,10,32,42,42,3,0.66259765625,-0.66259765625,-0.66259765625,1,42,True
+,10,33,10,33,43,43,1,1.154296875,-1.154296875,-1.154296875,1,43,True
+,10,34,10,34,44,44,1,1.498046875,-1.498046875,-1.498046875,1,44,True
+,10,35,10,35,45,45,2,1.2958984375,-1.2958984375,-1.2958984375,1,55,False
+,10,36,10,36,46,46,4,0.69384765625,-0.69384765625,-0.69384765625,1,46,True
+,10,37,10,37,47,47,0,1.4033203125,-1.4033203125,-1.4033203125,1,47,True
+,10,38,10,38,48,48,2,1.6630859375,-1.6630859375,-1.6630859375,1,48,True
+,10,39,10,39,49,49,0,1.228515625,-1.228515625,-1.228515625,1,49,True
+,10,40,10,40,50,50,10,0.2452392578125,-0.2452392578125,-0.2452392578125,1,50,True
+,10,41,10,41,51,51,0,1.05078125,-1.05078125,-1.05078125,1,51,True
+,10,42,10,42,52,52,0,1.162109375,-1.162109375,-1.162109375,1,52,True
+,10,43,10,43,53,53,0,1.171875,-1.171875,-1.171875,1,53,True
+,10,44,10,44,54,54,0,1.505859375,-1.505859375,-1.505859375,1,54,True
+,10,45,10,45,55,55,10,0.50830078125,-0.50830078125,-0.50830078125,1,55,True
+,10,46,10,46,56,56,0,0.90380859375,-0.90380859375,-0.90380859375,1,56,True
+,10,47,10,47,57,57,0,1.9560546875,-1.9560546875,-1.9560546875,1,67,False
+,10,48,10,48,58,58,1,1.048828125,-1.048828125,-1.048828125,1,58,True
+,10,49,10,49,59,59,1,2.40625,-2.40625,-2.40625,1,49,False
+,10,50,10,50,60,60,13,2.06640625,-2.06640625,-2.06640625,1,70,False
+,10,51,10,51,61,61,0,1.439453125,-1.439453125,-1.439453125,1,61,True
+,10,52,10,52,62,62,0,0.93115234375,-0.93115234375,-0.93115234375,1,62,True
