op,a,b,x,y,answer,problem_size,freq,surprisal,target_logprob,avg_target_logprob,n_target_tokens,prediction,correct
+,10,10,10,10,20,20,228,0.039459228515625,-0.039459228515625,-0.039459228515625,1,20,True
+,10,11,10,11,21,21,21,0.0117340087890625,-0.0117340087890625,-0.0117340087890625,1,21,True
+,10,12,10,12,22,22,31,0.04156494140625,-0.04156494140625,-0.04156494140625,1,22,True
+,10,13,10,13,23,23,17,0.0097808837890625,-0.0097808837890625,-0.0097808837890625,1,23,True
+,10,14,10,14,24,24,13,0.03173828125,-0.03173828125,-0.03173828125,1,24,True
+,10,15,10,15,25,25,56,0.01328277587890625,-0.01328277587890625,-0.01328277587890625,1,25,True
+,10,16,10,16,26,26,18,0.01233673095703125,-0.01233673095703125,-0.01233673095703125,1,26,True
+,10,17,10,17,27,27,8,0.033905029296875,-0.033905029296875,-0.033905029296875,1,27,True
+,10,18,10,18,28,28,8,0.020263671875,-0.020263671875,-0.020263671875,1,28,True
+,10,19,10,19,29,29,1,0.0251617431640625,-0.0251617431640625,-0.0251617431640625,1,29,True
+,10,20,10,20,30,30,89,0.020263671875,-0.020263671875,-0.020263671875,1,30,True
+,10,21,10,21,31,31,7,0.0091094970703125,-0.0091094970703125,-0.0091094970703125,1,31,True
+,10,22,10,22,32,32,17,0.074462890625,-0.074462890625,-0.074462890625,1,32,True
+,10,23,10,23,33,33,5,0.0081329345703125,-0.0081329345703125,-0.0081329345703125,1,33,True
+,10,24,10,24,34,34,8,0.0259552001953125,-0.0259552001953125,-0.0259552001953125,1,34,True
+,10,25,10,25,35,35,15,0.053863525390625,-0.053863525390625,-0.053863525390625,1,35,True
+,10,26,10,26,36,36,6,0.037689208984375,-0.037689208984375,-0.037689208984375,1,36,True
+,10,27,10,27,37,37,2,0.01070404052734375,-0.01070404052734375,-0.01070404052734375,1,37,True
+,10,28,10,28,38,38,1,0.06951904296875,-0.06951904296875,-0.06951904296875,1,38,True
+,10,29,10,29,39,39,2,0.0196685791015625,-0.0196685791015625,-0.0196685791015625,1,39,True
+,10,30,10,30,40,40,32,0.0406494140625,-0.0406494140625,-0.0406494140625,1,40,True
