op,a,b,x,y,answer,problem_size,freq,surprisal,target_logprob,avg_target_logprob,n_target_tokens,prediction,correct
-,10,10,20,10,10,20,51,0.2939453125,-0.2939453125,-0.2939453125,1,10,True
-,10,11,21,11,10,21,7,0.0826416015625,-0.0826416015625,-0.0826416015625,1,10,True
-,10,12,22,12,10,22,13,0.099365234375,-0.099365234375,-0.099365234375,1,10,True
-,10,13,23,13,10,23,5,0.3876953125,-0.3876953125,-0.3876953125,1,10,True
-,10,14,24,14,10,24,10,0.62255859375,-0.62255859375,-0.62255859375,1,10,True
-,10,15,25,15,10,25,18,0.1339111328125,-0.1339111328125,-0.1339111328125,1,10,True
-,10,16,26,16,10,26,5,0.5185546875,-0.5185546875,-0.5185546875,1,10,True
-,10,17,27,17,10,27,4,0.46923828125,-0.46923828125,-0.46923828125,1,10,True
-,10,18,28,18,10,28,3,1.3564453125,-1.3564453125,-1.3564453125,1,10,True
-,10,19,29,19,10,29,2,0.3115234375,-0.3115234375,-0.3115234375,1,10,True
-,10,20,30,20,10,30,21,0.07049560546875,-0.07049560546875,-0.07049560546875,1,10,True
-,10,21,31,21,10,31,4,0.05731201171875,-0.05731201171875,-0.05731201171875,1,10,True
-,10,22,32,22,10,32,4,0.2303466796875,-0.2303466796875,-0.2303466796875,1,10,True
-,10,23,33,23,10,33,2,0.309814453125,-0.309814453125,-0.309814453125,1,10,True
-,10,24,34,24,10,34,0,0.482421875,-0.482421875,-0.482421875,1,10,True
-,10,25,35,25,10,35,11,0.10540771484375,-0.10540771484375,-0.10540771484375,1,10,True
-,10,26,36,26,10,36,5,1.0029296875,-1.0029296875,-1.0029296875,1,10,True
-,10,27,37,27,10,37,0,0.04241943359375,-0.04241943359375,-0.04241943359375,1,10,True
-,10,28,38,28,10,38,1,0.2255859375,-0.2255859375,-0.2255859375,1,10,True
-,10,29,39,29,10,39,1,0.230224609375,-0.230224609375,-0.230224609375,1,10,True
-,10,30,40,30,10,40,13,1.0625,-1.0625,-1.0625,1,20,False
-,10,31,41,31,10,41,1,0.2724609375,-0.2724609375,-0.2724609375,1,10,True
-,10,32,42,32,10,42,1,0.0290985107421875,-0.0290985107421875,-0.0290985107421875,1,10,True
-,10,33,43,33,10,43,1,0.83837890625,-0.83837890625,-0.83837890625,1,10,True
-,10,34,44,34,10,44,0,3.03515625,-3.03515625,-3.03515625,1,12,False
-,10,35,45,35,10,45,1,0.359130859375,-0.359130859375,-0.359130859375,1,10,True
-,10,36,46,36,10,46,0,1.3408203125,-1.3408203125,-1.3408203125,1,10,True
-,10,37,47,37,10,47,1,0.6826171875,-0.6826171875,-0.6826171875,1,10,True
-,10,38,48,38,10,48,0,1.5751953125,-1.5751953125,-1.5751953125,1,20,False
-,10,39,49,39,10,49,0,0.568359375,-0.568359375,-0.568359375,1,10,True
-,10,40,50,40,10,50,7,0.149658203125,-0.149658203125,-0.149658203125,1,10,True
-,10,41,51,41,10,51,0,0.21142578125,-0.21142578125,-0.21142578125,1,10,True
-,10,42,52,42,10,52,1,1.8681640625,-1.8681640625,-1.8681640625,1,20,False
-,10,43,53,43,10,53,1,0.364013671875,-0.364013671875,-0.364013671875,1,10,True
-,10,44,54,44,10,54,0,0.56787109375,-0.56787109375,-0.56787109375,1,10,True
-,10,45,55,45,10,55,4,0.37158203125,-0.37158203125,-0.37158203125,1,10,True
-,10,46,56,46,10,56,1,1.2509765625,-1.2509765625,-1.2509765625,1,12,False
-,10,47,57,47,10,57,1,0.79541015625,-0.79541015625,-0.79541015625,1,10,True
-,10,48,58,48,10,58,0,0.8232421875,-0.8232421875,-0.8232421875,1,10,True
-,10,49,59,49,10,59,1,0.798828125,-0.798828125,-0.798828125,1,10,True
-,10,50,60,50,10,60,9,0.87939453125,-0.87939453125,-0.87939453125,1,10,True
-,10,51,61,51,10,61,2,0.6513671875,-0.6513671875,-0.6513671875,1,10,True
-,10,52,62,52,10,62,1,0.2125244140625,-0.2125244140625,-0.2125244140625,1,10,True
-,10,53,63,53,10,63,0,0.170166015625,-0.170166015625,-0.170166015625,1,10,True
-,10,54,64,54,10,64,2,4.7421875,-4.7421875,-4.7421875,1,20,False
-,10,55,65,55,10,65,2,0.59814453125,-0.59814453125,-0.59814453125,1,10,True
-,10,56,66,56,10,66,0,1.533203125,-1.533203125,-1.533203125,1,10,True
-,10,57,67,57,10,67,0,1.2099609375,-1.2099609375,-1.2099609375,1,20,False
-,10,58,68,58,10,68,1,2.216796875,-2.216796875,-2.216796875,1,12,False
-,10,59,69,59,10,69,0,1.7412109375,-1.7412109375,-1.7412109375,1,20,False
-,10,60,70,60,10,70,3,0.66845703125,-0.66845703125,-0.66845703125,1,10,True
-,10,61,71,61,10,71,0,1.3876953125,-1.3876953125,-1.3876953125,1,20,False
-,10,62,72,62,10,72,2,1.517578125,-1.517578125,-1.517578125,1,20,False
-,10,63,73,63,10,73,1,1.0205078125,-1.0205078125,-1.0205078125,1,20,False
-,10,64,74,64,10,74,1,2.560546875,-2.560546875,-2.560546875,1,18,False
-,10,65,75,65,10,75,3,0.783203125,-0.783203125,-0.783203125,1,20,False
-,10,66,76,66,10,76,0,4.21875,-4.21875,-4.21875,1,20,False
-,10,67,77,67,10,77,0,1.4169921875,-1.4169921875,-1.4169921875,1,10,True
-,10,68,78,68,10,78,0,1.564453125,-1.564453125,-1.564453125,1,14,False
-,10,69,79,69,10,79,0,3.056640625,-3.056640625,-3.056640625,1,20,False
-,10,70,80,70,10,80,3,2.787109375,-2.787109375,-2.787109375,1,20,False
-,10,71,81,71,10,81,1,1.6884765625,-1.6884765625,-1.6884765625,1,2,False
-,10,72,82,72,10,82,1,0.9140625,-0.9140625,-0.9140625,1,10,True
-,10,73,83,73,10,83,0,2.697265625,-2.697265625,-2.697265625,1,6,False
-,10,74,84,74,10,84,0,3.64453125,-3.64453125,-3.64453125,1,20,False
-,10,75,85,75,10,85,1,2.53125,-2.53125,-2.53125,1,20,False
-,10,76,86,76,10,86,0,2.6640625,-2.6640625,-2.6640625,1,14,False
-,10,77,87,77,10,87,0,1.3544921875,-1.3544921875,-1.3544921875,1,10,True
-,10,78,88,78,10,88,0,1.5849609375,-1.5849609375,-1.5849609375,1,10,True
-,10,79,89,79,10,89,2,1.982421875,-1.982421875,-1.982421875,1,20,False
-,10,80,90,80,10,90,4,0.259033203125,-0.259033203125,-0.259033203125,1,10,True
-,10,81,91,81,10,91,0,1.51953125,-1.51953125,-1.51953125,1,10,True
-,10,82,92,82,10,92,0,2.392578125,-2.392578125,-2.392578125,1,20,False
-,10,83,93,83,10,93,0,1.6298828125,-1.6298828125,-1.6298828125,1,20,False
-,10,84,94,84,10,94,0,1.337890625,-1.337890625,-1.337890625,1,10,True
-,10,85,95,85,10,95,0,2.890625,-2.890625,-2.890625,1,18,False
-,10,86,96,86,10,96,0,3.224609375,-3.224609375,-3.224609375,1,12,False
-,10,87,97,87,10,97,1,1.53125,-1.53125,-1.53125,1,14,False
-,10,88,98,88,10,98,0,0.36279296875,-0.36279296875,-0.36279296875,1,10,True
-,10,89,99,89,10,99,1,1.2666015625,-1.2666015625,-1.2666015625,1,2,False
-,10,90,100,90,10,100,15,0.07257080078125,-0.07257080078125,-0.07257080078125,1,10,True
-,10,91,101,91,10,101,1,0.1614990234375,-0.1614990234375,-0.1614990234375,1,10,True
-,10,92,102,92,10,102,0,0.08355712890625,-0.08355712890625,-0.08355712890625,1,10,True
-,10,93,103,93,10,103,0,1.6328125,-1.6328125,-1.6328125,1,20,False
-,10,94,104,94,10,104,1,2.087890625,-2.087890625,-2.087890625,1,20,False
-,10,95,105,95,10,105,0,0.9833984375,-0.9833984375,-0.9833984375,1,20,False
-,10,96,106,96,10,106,0,1.705078125,-1.705078125,-1.705078125,1,2,False
-,10,97,107,97,10,107,1,2.236328125,-2.236328125,-2.236328125,1,2,False
-,10,98,108,98,10,108,0,4.21875,-4.21875,-4.21875,1,20,False
-,10,99,109,99,10,109,0,2.5859375,-2.5859375,-2.5859375,1,2,False
-,11,10,21,10,11,21,12,0.0261993408203125,-0.0261993408203125,-0.0261993408203125,1,11,True
-,11,11,22,11,11,22,4,0.0450439453125,-0.0450439453125,-0.0450439453125,1,11,True
-,11,12,23,12,11,23,8,0.01727294921875,-0.01727294921875,-0.01727294921875,1,11,True
-,11,13,24,13,11,24,10,0.0860595703125,-0.0860595703125,-0.0860595703125,1,11,True
-,11,14,25,14,11,25,4,0.1602783203125,-0.1602783203125,-0.1602783203125,1,11,True
-,11,15,26,15,11,26,3,0.04913330078125,-0.04913330078125,-0.04913330078125,1,11,True
-,11,16,27,16,11,27,5,0.06817626953125,-0.06817626953125,-0.06817626953125,1,11,True
-,11,17,28,17,11,28,4,0.326904296875,-0.326904296875,-0.326904296875,1,11,True
-,11,18,29,18,11,29,2,0.0250396728515625,-0.0250396728515625,-0.0250396728515625,1,11,True
-,11,19,30,19,11,30,5,0.07733154296875,-0.07733154296875,-0.07733154296875,1,11,True
-,11,20,31,20,11,31,3,0.10064697265625,-0.10064697265625,-0.10064697265625,1,11,True
-,11,21,32,21,11,32,7,0.0243377685546875,-0.0243377685546875,-0.0243377685546875,1,11,True
-,11,22,33,22,11,33,4,0.038604736328125,-0.038604736328125,-0.038604736328125,1,11,True
