op,a,b,x,y,answer,problem_size,freq,surprisal,target_logprob,avg_target_logprob,n_target_tokens,prediction,correct
-,10,10,20,10,10,20,51,3.453125,-3.453125,-3.453125,1,-4,False
-,10,11,21,11,10,21,7,4.01171875,-4.01171875,-4.01171875,1,-4,False
-,10,12,22,12,10,22,13,3.234375,-3.234375,-3.234375,1,-4,False
-,10,13,23,13,10,23,5,4.23828125,-4.23828125,-4.23828125,1,-5,False
-,10,14,24,14,10,24,10,3.646484375,-3.646484375,-3.646484375,1,-4,False
-,10,15,25,15,10,25,18,4.0859375,-4.0859375,-4.0859375,1,-4,False
-,10,16,26,16,10,26,5,3.5546875,-3.5546875,-3.5546875,1,-4,False
-,10,17,27,17,10,27,4,4.296875,-4.296875,-4.296875,1,-4,False
-,10,18,28,18,10,28,3,3.478515625,-3.478515625,-3.478515625,1,-4,False
-,10,19,29,19,10,29,2,3.9609375,-3.9609375,-3.9609375,1,-4,False
-,10,20,30,20,10,30,21,3.615234375,-3.615234375,-3.615234375,1,-4,False
-,10,21,31,21,10,31,4,4.125,-4.125,-4.125,1,-5,False
-,10,22,32,22,10,32,4,3.580078125,-3.580078125,-3.580078125,1,-4,False
-,10,23,33,23,10,33,2,4.28515625,-4.28515625,-4.28515625,1,-5,False
-,10,24,34,24,10,34,0,3.71484375,-3.71484375,-3.71484375,1,-4,False
-,10,25,35,25,10,35,11,4.76953125,-4.76953125,-4.76953125,1,-4,False
-,10,26,36,26,10,36,5,3.9453125,-3.9453125,-3.9453125,1,-4,False
-,10,27,37,27,10,37,0,4.5078125,-4.5078125,-4.5078125,1,-4,False
-,10,28,38,28,10,38,1,4.12890625,-4.12890625,-4.12890625,1,-4,False
-,10,29,39,29,10,39,1,4.62890625,-4.62890625,-4.62890625,1,-4,False
-,10,30,40,30,10,40,13,4.42578125,-4.42578125,-4.42578125,1,-4,False
-,10,31,41,31,10,41,1,4.921875,-4.921875,-4.921875,1,-5,False
-,10,32,42,32,10,42,1,4.74609375,-4.74609375,-4.74609375,1,-5,False
-,10,33,43,33,10,43,1,5.1640625,-5.1640625,-5.1640625,1,-5,False
-,10,34,44,34,10,44,0,4.8671875,-4.8671875,-4.8671875,1,-4,False
-,10,35,45,35,10,45,1,5.6640625,-5.6640625,-5.6640625,1,-5,False
-,10,36,46,36,10,46,0,5.0078125,-5.0078125,-5.0078125,1,-4,False
-,10,37,47,37,10,47,1,5.22265625,-5.22265625,-5.22265625,1,-5,False
-,10,38,48,38,10,48,0,5.03125,-5.03125,-5.03125,1,-4,False
-,10,39,49,39,10,49,0,5.140625,-5.140625,-5.140625,1,-5,False
-,10,40,50,40,10,50,7,5.02734375,-5.02734375,-5.02734375,1,-4,False
-,10,41,51,41,10,51,0,5.33984375,-5.33984375,-5.33984375,1,-5,False
-,10,42,52,42,10,52,1,4.671875,-4.671875,-4.671875,1,-4,False
-,10,43,53,43,10,53,1,5.3046875,-5.3046875,-5.3046875,1,-4,False
-,10,44,54,44,10,54,0,5.30859375,-5.30859375,-5.30859375,1,-4,False
-,10,45,55,45,10,55,4,5.90625,-5.90625,-5.90625,1,-5,False
-,10,46,56,46,10,56,1,4.98046875,-4.98046875,-4.98046875,1,-4,False
-,10,47,57,47,10,57,1,5.171875,-5.171875,-5.171875,1,-4,False
-,10,48,58,48,10,58,0,5.2265625,-5.2265625,-5.2265625,1,-4,False
-,10,49,59,49,10,59,1,5.3046875,-5.3046875,-5.3046875,1,-5,False
-,10,50,60,50,10,60,9,5.23828125,-5.23828125,-5.23828125,1,-4,False
-,10,51,61,51,10,61,2,5.5078125,-5.5078125,-5.5078125,1,-4,False
-,10,52,62,52,10,62,1,4.76953125,-4.76953125,-4.76953125,1,-4,False
-,10,53,63,53,10,63,0,5.37890625,-5.37890625,-5.37890625,1,-4,False
-,10,54,64,54,10,64,2,5.015625,-5.015625,-5.015625,1,-4,False
-,10,55,65,55,10,65,2,5.66796875,-5.66796875,-5.66796875,1,-4,False
-,10,56,66,56,10,66,0,5.31640625,-5.31640625,-5.31640625,1,-4,False
-,10,57,67,57,10,67,0,5.2890625,-5.2890625,-5.2890625,1,-5,False
-,10,58,68,58,10,68,1,4.90625,-4.90625,-4.90625,1,-4,False
-,10,59,69,59,10,69,0,5.57421875,-5.57421875,-5.57421875,1,-4,False
-,10,60,70,60,10,70,3,5.37890625,-5.37890625,-5.37890625,1,-4,False
-,10,61,71,61,10,71,0,5.6953125,-5.6953125,-5.6953125,1,-5,False
-,10,62,72,62,10,72,2,4.8359375,-4.8359375,-4.8359375,1,-5,False
-,10,63,73,63,10,73,1,5.1796875,-5.1796875,-5.1796875,1,-5,False
-,10,64,74,64,10,74,1,5.37109375,-5.37109375,-5.37109375,1,-4,False
-,10,65,75,65,10,75,3,5.8046875,-5.8046875,-5.8046875,1,-5,False
-,10,66,76,66,10,76,0,5.0546875,-5.0546875,-5.0546875,1,-4,False
-,10,67,77,67,10,77,0,5.4609375,-5.4609375,-5.4609375,1,-5,False
-,10,68,78,68,10,78,0,4.67578125,-4.67578125,-4.67578125,1,-4,False
-,10,69,79,69,10,79,0,5.40625,-5.40625,-5.40625,1,-4,False
-,10,70,80,70,10,80,3,5.37890625,-5.37890625,-5.37890625,1,-4,False
-,10,71,81,71,10,81,1,5.68359375,-5.68359375,-5.68359375,1,-5,False
-,10,72,82,72,10,82,1,4.6015625,-4.6015625,-4.6015625,1,-5,False
-,10,73,83,73,10,83,0,5.01171875,-5.01171875,-5.01171875,1,-5,False
-,10,74,84,74,10,84,0,4.86328125,-4.86328125,-4.86328125,1,-5,False
-,10,75,85,75,10,85,1,5.98828125,-5.98828125,-5.98828125,1,-5,False
-,10,76,86,76,10,86,0,4.90625,-4.90625,-4.90625,1,-4,False
-,10,77,87,77,10,87,0,5.23046875,-5.23046875,-5.23046875,1,-4,False
-,10,78,88,78,10,88,0,5.15234375,-5.15234375,-5.15234375,1,-4,False
-,10,79,89,79,10,89,2,4.98828125,-4.98828125,-4.98828125,1,-5,False
-,10,80,90,80,10,90,4,5.45703125,-5.45703125,-5.45703125,1,-4,False
-,10,81,91,81,10,91,0,4.95703125,-4.95703125,-4.95703125,1,-5,False
-,10,82,92,82,10,92,0,4.58203125,-4.58203125,-4.58203125,1,-4,False
-,10,83,93,83,10,93,0,5.25,-5.25,-5.25,1,-5,False
