op,a,b,x,y,answer,problem_size,freq,surprisal,target_logprob,avg_target_logprob,n_target_tokens,prediction,correct
-,10,10,20,10,10,20,51,0.0391845703125,-0.0391845703125,-0.0391845703125,1,10,True
-,10,11,21,11,10,21,7,0.1173095703125,-0.1173095703125,-0.1173095703125,1,10,True
-,10,12,22,12,10,22,13,0.0421142578125,-0.0421142578125,-0.0421142578125,1,10,True
-,10,13,23,13,10,23,5,0.178955078125,-0.178955078125,-0.178955078125,1,10,True
-,10,14,24,14,10,24,10,0.05450439453125,-0.05450439453125,-0.05450439453125,1,10,True
-,10,15,25,15,10,25,18,0.20947265625,-0.20947265625,-0.20947265625,1,10,True
-,10,16,26,16,10,26,5,0.341552734375,-0.341552734375,-0.341552734375,1,10,True
-,10,17,27,17,10,27,4,0.42578125,-0.42578125,-0.42578125,1,10,True
-,10,18,28,18,10,28,3,0.01212310791015625,-0.01212310791015625,-0.01212310791015625,1,10,True
-,10,19,29,19,10,29,2,0.07208251953125,-0.07208251953125,-0.07208251953125,1,10,True
-,10,20,30,20,10,30,21,0.113037109375,-0.113037109375,-0.113037109375,1,10,True
-,10,21,31,21,10,31,4,0.7392578125,-0.7392578125,-0.7392578125,1,10,True
-,10,22,32,22,10,32,4,0.43408203125,-0.43408203125,-0.43408203125,1,10,True
-,10,23,33,23,10,33,2,2.060546875,-2.060546875,-2.060546875,1,-10,False
-,10,24,34,24,10,34,0,0.1920166015625,-0.1920166015625,-0.1920166015625,1,10,True
-,10,25,35,25,10,35,11,0.8779296875,-0.8779296875,-0.8779296875,1,-10,False
-,10,26,36,26,10,36,5,0.2340087890625,-0.2340087890625,-0.2340087890625,1,10,True
-,10,27,37,27,10,37,0,1.275390625,-1.275390625,-1.275390625,1,-10,False
-,10,28,38,28,10,38,1,0.091064453125,-0.091064453125,-0.091064453125,1,10,True
-,10,29,39,29,10,39,1,0.0941162109375,-0.0941162109375,-0.0941162109375,1,10,True
-,10,30,40,30,10,40,13,0.09552001953125,-0.09552001953125,-0.09552001953125,1,10,True
-,10,31,41,31,10,41,1,1.8955078125,-1.8955078125,-1.8955078125,1,-8,False
-,10,32,42,32,10,42,1,0.266357421875,-0.266357421875,-0.266357421875,1,10,True
-,10,33,43,33,10,43,1,0.419921875,-0.419921875,-0.419921875,1,10,True
-,10,34,44,34,10,44,0,0.1917724609375,-0.1917724609375,-0.1917724609375,1,10,True
-,10,35,45,35,10,45,1,0.380859375,-0.380859375,-0.380859375,1,10,True
-,10,36,46,36,10,46,0,0.463134765625,-0.463134765625,-0.463134765625,1,10,True
-,10,37,47,37,10,47,1,0.78515625,-0.78515625,-0.78515625,1,10,True
-,10,38,48,38,10,48,0,0.205322265625,-0.205322265625,-0.205322265625,1,10,True
-,10,39,49,39,10,49,0,1.0205078125,-1.0205078125,-1.0205078125,1,-10,False
-,10,40,50,40,10,50,7,0.73046875,-0.73046875,-0.73046875,1,10,True
-,10,41,51,41,10,51,0,0.55859375,-0.55859375,-0.55859375,1,10,True
-,10,42,52,42,10,52,1,0.289306640625,-0.289306640625,-0.289306640625,1,10,True
-,10,43,53,43,10,53,1,0.419189453125,-0.419189453125,-0.419189453125,1,10,True
-,10,44,54,44,10,54,0,0.2021484375,-0.2021484375,-0.2021484375,1,10,True
-,10,45,55,45,10,55,4,0.666015625,-0.666015625,-0.666015625,1,10,True
-,10,46,56,46,10,56,1,1.9111328125,-1.9111328125,-1.9111328125,1,-10,False
-,10,47,57,47,10,57,1,2.82421875,-2.82421875,-2.82421875,1,20,False
-,10,48,58,48,10,58,0,0.72119140625,-0.72119140625,-0.72119140625,1,10,True
-,10,49,59,49,10,59,1,1.15625,-1.15625,-1.15625,1,20,False
-,10,50,60,50,10,60,9,0.11175537109375,-0.11175537109375,-0.11175537109375,1,10,True
-,10,51,61,51,10,61,2,2.46484375,-2.46484375,-2.46484375,1,-10,False
-,10,52,62,52,10,62,1,1.7001953125,-1.7001953125,-1.7001953125,1,22,False
-,10,53,63,53,10,63,0,2.11328125,-2.11328125,-2.11328125,1,20,False
-,10,54,64,54,10,64,2,0.87744140625,-0.87744140625,-0.87744140625,1,10,True
